Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
PLI,357.0,392.7,357.0,"7,656.00",392.7,357.0,"2,996,275.00",28-12-2022
PLI,400.5,431.9,400.0,"22,983.00",431.9,392.7,"9,737,935.50",29-12-2022
PLI,400.5,431.9,400.0,"22,983.00",431.9,392.7,"9,737,935.50",30-12-2022
PLI,400.5,431.9,400.0,"22,983.00",431.9,392.7,"9,737,935.50",31-12-2022
PLI,440.0,475.0,440.0,"19,017.00",475.0,431.9,"8,979,024.00",01-01-2023
PLI,484.0,499.8,457.0,"30,134.00",485.0,475.0,"14,542,518.80",02-01-2023
PLI,477.2,484.0,468.0,"21,070.00",474.0,485.0,"9,967,964.30",03-01-2023
PLI,474.0,480.0,465.1,"18,317.00",478.9,474.0,"8,666,466.50",04-01-2023
PLI,487.5,501.0,471.0,"36,771.00",495.0,478.9,"17,878,937.80",05-01-2023
PLI,487.5,501.0,471.0,"36,771.00",495.0,478.9,"17,878,937.80",06-01-2023
PLI,487.5,501.0,471.0,"36,771.00",495.0,478.9,"17,878,937.80",07-01-2023
PLI,495.0,544.5,486.6,"37,059.00",537.0,495.0,"19,751,403.20",08-01-2023
PLI,532.0,550.0,532.0,"13,271.00",539.0,537.0,"7,190,076.40",09-01-2023
PLI,539.0,540.0,510.1,"24,909.00",518.0,539.0,"13,184,929.50",10-01-2023
PLI,539.0,540.0,510.1,"24,909.00",518.0,539.0,"13,184,929.50",11-01-2023
PLI,528.0,528.0,502.0,"37,958.00",512.0,518.0,"19,302,235.50",12-01-2023
PLI,528.0,528.0,502.0,"37,958.00",512.0,518.0,"19,302,235.50",13-01-2023
PLI,528.0,528.0,502.0,"37,958.00",512.0,518.0,"19,302,235.50",14-01-2023
PLI,528.0,528.0,502.0,"37,958.00",512.0,518.0,"19,302,235.50",15-01-2023
PLI,528.0,528.0,502.0,"37,958.00",512.0,518.0,"19,302,235.50",16-01-2023
PLI,501.9,530.0,501.9,"20,321.00",522.1,512.0,"10,513,682.60",17-01-2023
PLI,512.80,533.40,512.80,"20,403.00",520.00,522.10,"10,745,973.90",18-01-2023
