Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
UNHPL,241.1,253.9,238.5,"70,647.00",247.1,245.0,"17,478,384.50",10-08-2022
UNHPL,241.1,253.9,238.5,"70,647.00",247.1,245.0,"17,478,384.50",10-08-2022
UNHPL,252.0,257.0,238.0,"38,565.00",243.0,247.1,"9,500,013.00",11-08-2022
UNHPL,252.0,257.0,238.0,"38,565.00",243.0,247.1,"9,500,013.00",12-08-2022
UNHPL,252.0,257.0,238.0,"38,565.00",243.0,247.1,"9,500,013.00",13-08-2022
UNHPL,247.8,247.8,232.3,"38,473.00",236.0,243.0,"9,114,311.70",14-08-2022
UNHPL,240.0,253.0,239.0,"57,161.00",250.0,236.0,"14,133,039.40",15-08-2022
UNHPL,255.0,255.0,240.5,"42,908.00",243.0,250.0,"10,615,378.90",16-08-2022
UNHPL,243.0,246.9,238.0,"28,595.00",241.0,243.0,"6,876,049.40",17-08-2022
UNHPL,245.8,252.0,241.1,"57,181.00",251.0,241.0,"14,185,060.60",18-08-2022
UNHPL,245.8,252.0,241.1,"57,181.00",251.0,241.0,"14,185,060.60",19-08-2022
UNHPL,245.8,252.0,241.1,"57,181.00",251.0,241.0,"14,185,060.60",20-08-2022
UNHPL,251.0,256.0,245.2,"25,853.00",248.0,251.0,"6,489,757.40",21-08-2022
UNHPL,243.10,248.80,241.30,"15,941.00",245.00,248.00,"3,902,613.20",22-08-2022
