Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
MPFL,314.0,314.0,297.0,"9,758.00",306.0,308.7,"2,966,910.10",10-08-2022
MPFL,314.0,314.0,297.0,"9,758.00",306.0,308.7,"2,966,910.10",10-08-2022
MPFL,308.0,314.1,285.0,"15,648.00",298.0,306.0,"4,694,364.60",11-08-2022
MPFL,308.0,314.1,285.0,"15,648.00",298.0,306.0,"4,694,364.60",12-08-2022
MPFL,308.0,314.1,285.0,"15,648.00",298.0,306.0,"4,694,364.60",13-08-2022
MPFL,298.0,307.9,280.0,"10,517.00",282.0,298.0,"3,066,220.00",14-08-2022
MPFL,284.9,310.2,284.9,"23,801.00",310.2,282.0,"7,223,131.40",15-08-2022
MPFL,316.4,331.0,310.0,"30,537.00",314.9,310.2,"9,791,328.50",16-08-2022
MPFL,320.0,331.0,313.6,"11,592.00",323.0,314.9,"3,732,566.80",17-08-2022
MPFL,323.0,350.0,317.3,"72,217.00",349.8,323.0,"24,434,422.50",18-08-2022
MPFL,323.0,350.0,317.3,"72,217.00",349.8,323.0,"24,434,422.50",19-08-2022
MPFL,323.0,350.0,317.3,"72,217.00",349.8,323.0,"24,434,422.50",20-08-2022
MPFL,356.0,370.0,343.0,"55,728.00",349.0,349.8,"19,754,206.20",21-08-2022
MPFL,344.0,362.9,344.0,"36,264.00",356.0,349.0,"12,782,994.20",22-08-2022
MPFL,363.0,363.0,350.0,"21,970.00",356.0,356.0,"7,848,430.50",23-08-2022
MPFL,362.9,363.1,347.0,"17,159.00",351.0,356.0,"6,023,906.80",24-08-2022
MPFL,350.0,357.1,334.3,"24,001.00",336.0,351.0,"8,249,753.80",25-08-2022
MPFL,335.0,347.5,326.0,"19,199.00",346.0,336.0,"6,501,892.00",26-08-2022
MPFL,335.0,347.5,326.0,"19,199.00",346.0,336.0,"6,501,892.00",27-08-2022
MPFL,345.9,352.8,333.3,"27,785.00",333.5,346.0,"9,452,011.80",28-08-2022
MPFL,330.0,345.0,329.0,"20,650.00",343.8,333.5,"6,981,079.60",29-08-2022
MPFL,343.0,345.0,332.0,"17,507.00",332.0,343.8,"5,896,255.50",30-08-2022
MPFL,338.0,339.9,325.4,"14,608.00",325.5,332.0,"4,801,022.80",31-08-2022
MPFL,329.0,338.0,322.0,"25,075.00",334.0,325.5,"8,264,018.50",01-09-2022
MPFL,339.0,340.6,330.0,"12,746.00",330.0,334.0,"4,282,645.20",02-09-2022
MPFL,339.0,340.6,330.0,"12,746.00",330.0,334.0,"4,282,645.20",03-09-2022
MPFL,336.00,340.00,332.00,"7,332.00",334.00,330.00,"2,454,930.80",04-09-2022
