Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
MCHL,232.0,255.2,232.0,680.0,255.2,232.0,"170,790.60",18-06-2023
MCHL,260.3,280.7,260.3,"9,227.00",280.7,255.2,"2,589,508.90",19-06-2023
MCHL,286.3,297.8,267.1,"39,591.00",270.2,280.7,"11,063,790.00",20-06-2023
MCHL,275.0,275.0,255.3,"26,510.00",255.4,270.2,"6,938,501.70",21-06-2023
MCHL,253.0,260.0,246.2,"13,557.00",247.2,255.4,"3,404,395.20",22-06-2023
MCHL,253.0,260.0,246.2,"13,557.00",247.2,255.4,"3,404,395.20",23-06-2023
MCHL,253.0,260.0,246.2,"13,557.00",247.2,255.4,"3,404,395.20",24-06-2023
MCHL,242.3,257.0,235.7,"18,370.00",252.0,247.2,"4,482,019.10",25-06-2023
MCHL,252.0,260.0,246.7,"9,432.00",248.0,252.0,"2,377,626.60",26-06-2023
MCHL,250.0,250.7,243.6,"15,028.00",247.3,248.0,"3,714,840.40",27-06-2023
MCHL,243.0,251.0,243.0,"12,380.00",251.0,247.3,"3,068,466.50",28-06-2023
MCHL,243.0,251.0,243.0,"12,380.00",251.0,247.3,"3,068,466.50",29-06-2023
MCHL,243.0,251.0,243.0,"12,380.00",251.0,247.3,"3,068,466.50",30-06-2023
MCHL,243.0,251.0,243.0,"12,380.00",251.0,247.3,"3,068,466.50",01-07-2023
MCHL,251.0,252.0,241.9,"8,642.00",247.1,251.0,"2,122,165.00",02-07-2023
MCHL,242.8,247.8,238.0,"7,620.00",241.9,247.1,"1,835,218.50",03-07-2023
MCHL,237.1,251.6,235.0,"4,536.00",251.6,241.9,"1,085,463.00",04-07-2023
MCHL,246.6,246.6,232.3,"9,616.00",240.7,251.6,"2,286,042.40",05-07-2023
MCHL,240.0,240.0,225.5,"7,785.00",237.0,240.7,"1,806,787.20",06-07-2023
MCHL,240.0,240.0,225.5,"7,785.00",237.0,240.7,"1,806,787.20",07-07-2023
MCHL,240.0,240.0,225.5,"7,785.00",237.0,240.7,"1,806,787.20",08-07-2023
MCHL,234.0,237.0,230.0,"7,452.00",237.0,237.0,"1,736,362.00",09-07-2023
MCHL,232.6,235.0,227.1,"5,025.00",227.3,237.0,"1,160,528.00",10-07-2023
MCHL,223.0,231.0,220.3,"5,420.00",225.0,227.3,"1,212,667.00",11-07-2023
MCHL,221.2,234.0,221.1,"12,039.00",230.0,225.0,"2,760,813.00",12-07-2023
MCHL,230.0,234.0,225.8,"4,160.00",226.0,230.0,"955,916.00",13-07-2023
MCHL,230.0,234.0,225.8,"4,160.00",226.0,230.0,"955,916.00",14-07-2023
MCHL,230.0,234.0,225.8,"4,160.00",226.0,230.0,"955,916.00",15-07-2023
MCHL,222.00,226.00,221.90,"2,868.00",226.00,226.00,"639,215.40",16-07-2023
