Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SBCF,8.04,8.36,8.04,"14,100.00",8.11,8.2,"114,514.00",11-08-2022
SBCF,8.04,8.36,8.04,"14,100.00",8.11,8.2,"114,514.00",12-08-2022
SBCF,8.04,8.36,8.04,"14,100.00",8.11,8.2,"114,514.00",13-08-2022
SBCF,7.99,8.27,7.99,"3,450.00",8.02,8.11,"27,824.00",14-08-2022
SBCF,8.0,8.16,8.0,"5,550.00",8.15,8.02,"44,562.50",15-08-2022
SBCF,8.1,8.1,8.06,900.00,8.06,8.15,"7,262.00",16-08-2022
SBCF,8.03,8.22,7.92,"9,900.00",8.22,8.06,"79,352.00",17-08-2022
SBCF,8.1,8.22,8.06,"5,100.00",8.06,8.22,"41,176.00",18-08-2022
SBCF,8.1,8.22,8.06,"5,100.00",8.06,8.22,"41,176.00",19-08-2022
SBCF,8.1,8.22,8.06,"5,100.00",8.06,8.22,"41,176.00",20-08-2022
SBCF,7.9,7.91,7.85,650.00,7.86,8.06,"5,121.00",21-08-2022
SBCF,7.91,8.05,7.91,"1,700.00",8.0,7.86,"13,616.00",22-08-2022
SBCF,7.85,8.31,7.85,"6,100.00",8.15,8.0,"49,841.00",23-08-2022
SBCF,8.0,8.15,8.0,"3,200.00",8.1,8.15,"25,990.00",24-08-2022
SBCF,7.96,8.06,7.96,"4,770.00",8.05,8.1,"38,269.20",25-08-2022
SBCF,8.0,8.0,8.0,900.00,8.0,8.05,"7,200.00",26-08-2022
SBCF,8.0,8.0,8.0,900.00,8.0,8.05,"7,200.00",27-08-2022
SBCF,8.0,8.0,7.84,"3,685.00",7.85,8.0,"28,937.25",28-08-2022
SBCF,7.81,7.9,7.8,"3,900.00",7.89,7.85,"30,746.00",29-08-2022
SBCF,7.9,7.94,7.9,200.00,7.94,7.89,"1,584.00",30-08-2022
SBCF,8.09,8.09,7.8,"2,600.00",7.8,7.94,"20,494.00",31-08-2022
SBCF,7.65,7.66,7.65,"2,800.00",7.65,7.8,"21,425.00",01-09-2022
SBCF,7.5,7.73,7.5,500.00,7.73,7.65,"3,783.00",02-09-2022
SBCF,7.5,7.73,7.5,500.00,7.73,7.65,"3,783.00",03-09-2022
SBCF,7.73,7.73,7.73,100.00,7.73,7.73,773.00,04-09-2022
SBCF,7.6,7.75,7.59,500.00,7.75,7.73,"3,814.00",05-09-2022
SBCF,7.6,7.6,7.45,"10,100.00",7.6,7.75,"75,990.00",06-09-2022
SBCF,7.45,7.5,7.45,300.00,7.5,7.6,"2,245.00",07-09-2022
SBCF,7.5,7.5,7.5,200.00,7.5,7.5,"1,500.00",08-09-2022
SBCF,7.5,7.5,7.5,200.00,7.5,7.5,"1,500.00",09-09-2022
SBCF,7.5,7.5,7.5,200.00,7.5,7.5,"1,500.00",10-09-2022
SBCF,7.5,7.59,7.5,"6,600.00",7.52,7.5,"49,978.00",11-09-2022
SBCF,7.52,7.57,7.52,"2,000.00",7.57,7.52,"15,090.00",12-09-2022
SBCF,7.57,7.6,7.5,"3,040.00",7.6,7.57,"22,933.00",13-09-2022
SBCF,7.5,7.7,7.5,"19,290.00",7.68,7.6,"146,398.00",14-09-2022
SBCF,7.68,7.83,7.68,700.00,7.78,7.68,"5,411.00",15-09-2022
SBCF,7.78,7.78,7.78,170.00,7.78,7.78,"1,322.60",16-09-2022
SBCF,7.78,7.78,7.78,170.00,7.78,7.78,"1,322.60",17-09-2022
SBCF,7.63,7.63,7.25,"10,800.00",7.35,7.78,"80,293.00",18-09-2022
SBCF,7.63,7.63,7.25,"10,800.00",7.35,7.78,"80,293.00",19-09-2022
SBCF,7.22,7.3,7.22,"6,500.00",7.3,7.35,"46,954.00",20-09-2022
SBCF,7.23,7.23,7.23,200.00,7.23,7.3,"1,446.00",21-09-2022
SBCF,7.25,7.3,7.16,"2,000.00",7.3,7.23,"14,430.00",22-09-2022
SBCF,7.25,7.3,7.16,"2,000.00",7.3,7.23,"14,430.00",23-09-2022
SBCF,7.25,7.3,7.16,"2,000.00",7.3,7.23,"14,430.00",24-09-2022
SBCF,7.26,7.26,7.26,"12,400.00",7.26,7.3,"90,024.00",25-09-2022
SBCF,7.26,7.26,7.26,"12,400.00",7.26,7.3,"90,024.00",26-09-2022
SBCF,7.26,7.27,7.25,"4,400.00",7.25,7.26,"31,961.00",27-09-2022
SBCF,7.12,7.26,7.12,400.00,7.26,7.25,"2,876.00",28-09-2022
SBCF,7.2,7.3,7.2,"1,200.00",7.3,7.26,"8,750.00",29-09-2022
SBCF,7.20,7.30,7.20,"1,200.00",7.30,7.26,"8,750.00",30-09-2022
