Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SAEF,12.75,12.75,12.62,"3,800.00",12.62,12.75,"48,024.00",10-08-2022
SAEF,12.75,12.75,12.62,"3,800.00",12.62,12.75,"48,024.00",10-08-2022
SAEF,12.6,12.85,12.44,"54,100.00",12.85,12.62,"682,606.00",11-08-2022
SAEF,12.6,12.85,12.44,"54,100.00",12.85,12.62,"682,606.00",12-08-2022
SAEF,12.6,12.85,12.44,"54,100.00",12.85,12.62,"682,606.00",13-08-2022
SAEF,12.7,12.7,12.7,"1,000.00",12.7,12.85,"12,700.00",14-08-2022
SAEF,12.5,12.69,12.45,"56,600.00",12.69,12.7,"708,328.00",15-08-2022
SAEF,12.87,12.87,12.57,"38,499.00",12.57,12.69,"486,538.88",16-08-2022
SAEF,12.5,12.66,12.43,"13,600.00",12.66,12.57,"169,758.10",17-08-2022
SAEF,12.46,12.7,12.46,"21,100.00",12.53,12.66,"264,756.00",18-08-2022
SAEF,12.46,12.7,12.46,"21,100.00",12.53,12.66,"264,756.00",19-08-2022
SAEF,12.46,12.7,12.46,"21,100.00",12.53,12.66,"264,756.00",20-08-2022
SAEF,12.78,12.78,12.55,"16,585.00",12.73,12.53,"209,424.95",21-08-2022
SAEF,12.98,12.98,12.48,"48,731.00",12.7,12.73,"618,838.80",22-08-2022
SAEF,12.79,12.79,12.6,"30,100.00",12.6,12.7,"380,763.00",23-08-2022
SAEF,12.61,12.78,12.6,"12,900.00",12.6,12.6,"162,608.00",24-08-2022
SAEF,12.58,12.58,12.55,"28,000.00",12.55,12.6,"351,740.00",25-08-2022
SAEF,12.75,12.77,12.6,"32,000.00",12.61,12.55,"406,375.50",26-08-2022
SAEF,12.75,12.77,12.6,"32,000.00",12.61,12.55,"406,375.50",27-08-2022
SAEF,12.75,12.77,12.43,"69,464.00",12.43,12.61,"868,505.38",28-08-2022
SAEF,12.45,12.73,12.45,"15,100.00",12.5,12.43,"188,493.00",29-08-2022
SAEF,12.73,12.75,12.38,"55,100.00",12.38,12.5,"692,674.00",30-08-2022
SAEF,12.29,12.39,12.29,"27,225.00",12.39,12.38,"335,900.25",31-08-2022
SAEF,12.4,12.4,12.15,"35,100.00",12.39,12.39,"430,372.60",01-09-2022
SAEF,12.55,12.55,12.40,"15,200.00",12.40,12.39,"188,510.00",02-09-2022
