Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SIPD,621.4,625.0,612.5,"8,457.00",613.0,630.0,"5,222,704.00",06-07-2026
SIPD,600.0,630.0,598.0,"14,593.00",609.0,613.0,"8,934,680.40",07-07-2026
SIPD,601.1,608.7,590.0,"12,126.00",600.0,609.0,"7,242,504.20",08-07-2026
SIPD,600.0,600.0,580.1,"10,144.00",590.0,600.0,"5,957,395.00",09-07-2026
SIPD,619.5,619.5,582.1,"9,535.00",595.1,590.0,"5,664,661.00",10-07-2026
SIPD,596.0,600.0,558.2,"11,523.00",574.8,595.1,"6,551,789.60",13-07-2026
SIPD,575.0,575.0,550.1,"9,433.00",569.9,574.8,"5,292,111.90",14-07-2026
SIPD,597.0,597.0,553.1,"6,589.00",565.0,569.9,"3,721,538.00",15-07-2026
SIPD,565.0,574.0,552.6,"10,156.00",558.9,565.0,"5,667,314.80",16-07-2026
SIPD,574.9,630.0,558.9,"25,904.00",626.0,558.9,"15,570,747.00",17-07-2026
SIPD,625.00,700.00,607.30,"27,332.00",675.00,626.00,"17,601,657.70",20-07-2026
