Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
CYCL,"1,732.10","1,868.00","1,732.10","1,150.00","1,868.00","1,698.20","2,130,313.20",11-12-2022
CYCL,"1,905.00","2,054.80","1,905.00","1,489.00","2,054.80","1,868.00","3,055,538.30",12-12-2022
CYCL,"2,014.10","2,260.20","2,014.10","2,019.00","2,260.20","2,054.80","4,554,799.80",13-12-2022
CYCL,"2,305.40","2,486.20","2,305.40",760.00,"2,486.20","2,260.20","1,885,082.00",14-12-2022
CYCL,"2,535.90","2,734.80","2,341.00","25,894.00","2,405.00","2,486.20","63,994,164.70",15-12-2022
CYCL,"2,535.90","2,734.80","2,341.00","25,894.00","2,405.00","2,486.20","63,994,164.70",16-12-2022
CYCL,"2,535.90","2,734.80","2,341.00","25,894.00","2,405.00","2,486.20","63,994,164.70",17-12-2022
CYCL,"2,405.00","2,405.00","2,335.10","13,170.00","2,341.00","2,405.00","31,132,998.00",18-12-2022
CYCL,"2,341.00","2,520.00","2,318.00","5,360.00","2,481.00","2,341.00","12,749,348.50",19-12-2022
CYCL,"2,499.00","2,723.00","2,470.00","8,826.00","2,670.00","2,481.00","22,810,319.00",20-12-2022
CYCL,"2,700.00","2,710.00","2,617.00","8,055.00","2,648.00","2,670.00","21,434,185.50",21-12-2022
CYCL,"2,680.00","2,680.00","2,518.00","5,725.00","2,593.00","2,648.00","14,681,211.00",22-12-2022
CYCL,"2,680.00","2,680.00","2,518.00","5,725.00","2,593.00","2,648.00","14,681,211.00",23-12-2022
CYCL,"2,680.00","2,680.00","2,518.00","5,725.00","2,593.00","2,648.00","14,681,211.00",24-12-2022
CYCL,"2,680.00","2,680.00","2,518.00","5,725.00","2,593.00","2,648.00","14,681,211.00",25-12-2022
CYCL,"2,644.00","2,644.00","2,420.00","11,147.00","2,472.00","2,593.00","27,406,162.20",26-12-2022
CYCL,"2,480.00","2,500.00","2,423.00","7,093.00","2,426.00","2,472.00","17,316,143.00",27-12-2022
CYCL,"2,380.00","2,455.00","2,380.00","3,648.00","2,427.00","2,426.00","8,859,870.70",28-12-2022
CYCL,"2,400.00","2,447.00","2,400.00","2,489.00","2,440.00","2,427.00","6,053,777.50",29-12-2022
CYCL,"2,400.00","2,447.00","2,400.00","2,489.00","2,440.00","2,427.00","6,053,777.50",30-12-2022
CYCL,"2,400.00","2,447.00","2,400.00","2,489.00","2,440.00","2,427.00","6,053,777.50",31-12-2022
CYCL,"2,480.00","2,480.00","2,392.00","5,342.00","2,450.00","2,440.00","13,095,199.80",01-01-2023
CYCL,"2,460.00","2,525.50","2,450.10","9,223.00","2,508.00","2,450.00","23,048,685.10",02-01-2023
CYCL,"1,967.80","2,087.00","1,967.80","8,107.00","2,000.00","1,929.23","16,320,654.20",03-01-2023
