Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
RSY,10.2,10.2,9.78,"79,800.00",10.0,10.01,"798,403.00",06-07-2026
RSY,9.81,10.19,9.81,"51,410.00",10.19,10.0,"523,291.00",07-07-2026
RSY,10.01,10.1,9.75,"66,505.00",10.1,10.19,"669,664.15",08-07-2026
RSY,9.8,10.2,9.75,"1,100.00",9.95,10.1,"10,910.00",09-07-2026
RSY,9.95,10.2,9.95,"3,200.00",10.1,9.95,"32,269.00",10-07-2026
RSY,9.81,10.0,9.81,"5,700.00",10.0,10.1,"56,942.00",13-07-2026
RSY,9.7,10.0,9.7,"1,200.00",10.0,10.0,"11,929.00",14-07-2026
RSY,9.74,10.04,9.74,"2,105.00",10.01,10.0,"21,020.20",15-07-2026
RSY,9.76,10.24,9.76,"8,910.00",10.24,10.01,"90,254.65",16-07-2026
RSY,10.2,10.24,9.9,"46,100.00",10.0,10.24,"470,438.00",17-07-2026
RSY,9.95,10.25,9.95,"12,000.00",10.1,10.0,"121,546.00",20-07-2026
RSY,9.95,10.39,9.8,"50,908.00",10.1,10.1,"526,102.80",21-07-2026
RSY,10.02,10.33,10.02,"64,700.00",10.29,10.1,"665,634.00",22-07-2026
RSY,10.03,10.35,10.03,"1,700.00",10.35,10.29,"17,315.00",23-07-2026
RSY,10.05,10.41,10.05,"13,319.00",10.2,10.35,"137,238.80",27-07-2026
RSY,9.91,10.49,9.91,"77,100.00",10.2,10.2,"792,814.00",28-07-2026
RSY,10.2,10.4,10.2,"6,950.00",10.22,10.2,"71,179.50",29-07-2026
RSY,9.71,10.34,9.71,"83,208.00",10.25,10.22,"848,717.08",30-07-2026
RSY,10.01,10.3,10.01,900.00,10.3,10.25,"9,135.00",31-07-2026
RSY,10.31,10.4,10.31,"2,000.00",10.31,10.3,"20,675.00",03-08-2026
RSY,10.17,10.5,10.17,"11,600.00",10.49,10.31,"120,860.60",04-08-2026
RSY,10.41,10.5,10.41,"80,490.00",10.41,10.49,"839,299.40",05-08-2026
RSY,10.4,10.4,10.21,"11,700.00",10.25,10.41,"121,421.00",06-08-2026
RSY,10.31,10.49,10.24,"5,300.00",10.26,10.25,"55,042.00",07-08-2026
RSY,10.24,10.4,10.11,"2,600.00",10.4,10.26,"26,630.00",10-08-2026
RSY,10.14,10.28,10.14,"2,650.00",10.27,10.4,"27,181.00",11-08-2026
RSY,10.11,10.49,10.11,"11,300.00",10.4,10.27,"116,933.00",12-08-2026
RSY,10.25,10.55,10.25,"280,158.00",10.5,10.4,"2,942,051.00",13-08-2026
RSY,10.39,10.5,10.39,"1,300.00",10.5,10.5,"13,589.00",14-08-2026
RSY,10.36,10.5,10.36,"180,769.00",10.45,10.5,"1,896,962.05",17-08-2026
RSY,10.41,10.56,10.4,"44,150.00",10.5,10.45,"462,982.60",18-08-2026
RSY,10.42,10.53,10.42,"254,400.00",10.52,10.5,"2,667,636.50",19-08-2026
RSY,10.3,10.55,10.3,"10,300.00",10.55,10.52,"108,370.00",20-08-2026
RSY,10.25,10.65,10.25,"14,400.00",10.65,10.55,"152,791.00",21-08-2026
RSY,10.4,10.7,10.4,"4,700.00",10.7,10.65,"49,195.00",24-08-2026
RSY,10.4,10.68,10.4,"42,400.00",10.54,10.7,"449,409.00",25-08-2026
RSY,10.23,10.23,9.93,"1,100.00",9.93,10.54,"10,953.00",26-08-2026
RSY,9.51,9.61,9.51,800.00,9.61,9.44,"7,664.00",31-08-2026
RSY,9.4,9.5,9.4,"3,700.00",9.42,9.61,"34,844.00",01-09-2026
RSY,9.39,9.42,9.39,310.00,9.42,9.42,"2,916.90",02-09-2026
RSY,9.39,9.53,9.39,"7,040.00",9.47,9.42,"66,812.00",03-09-2026
RSY,9.51,9.51,9.47,"49,300.00",9.47,9.47,"468,348.00",07-09-2026
RSY,9.47,9.48,9.45,"102,200.00",9.46,9.47,"967,823.00",09-09-2026
RSY,9.45,9.46,9.4,"20,604.00",9.4,9.46,"194,848.80",10-09-2026
RSY,9.17,9.44,9.17,"80,496.00",9.44,9.4,"738,421.32",11-09-2026
RSY,9.19,9.45,9.19,600.00,9.2,9.44,"5,544.00",14-09-2026
RSY,9.2,9.3,9.2,"2,700.00",9.3,9.2,"24,957.00",15-09-2026
RSY,9.3,9.39,9.3,"7,820.00",9.39,9.3,"73,351.80",16-09-2026
RSY,9.11,9.57,9.11,"6,000.00",9.57,9.39,"56,344.40",17-09-2026
RSY,9.3,9.57,9.3,600.00,9.57,9.57,"5,607.00",18-09-2026
RSY,9.31,9.57,9.30,"1,800.00",9.30,9.57,"16,768.00",22-09-2026
