Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SKHL,976.5,976.5,897.0,"10,287.00",918.0,930.0,"9,341,442.20",06-07-2026
SKHL,920.0,930.0,890.0,"9,076.00",925.0,918.0,"8,234,260.60",07-07-2026
SKHL,971.0,971.0,891.0,"7,251.00",910.0,925.0,"6,526,304.50",08-07-2026
SKHL,955.0,955.0,875.0,"10,327.00",875.2,910.0,"9,116,414.00",09-07-2026
SKHL,871.0,909.0,866.0,"13,080.00",883.0,875.2,"11,572,614.10",10-07-2026
SKHL,883.0,883.0,830.0,"12,275.00",837.6,883.0,"10,487,727.70",13-07-2026
SKHL,845.0,845.0,775.0,"26,367.00",807.0,837.6,"21,294,076.60",14-07-2026
SKHL,847.3,847.3,802.1,"9,333.00",820.0,807.0,"7,637,452.60",15-07-2026
SKHL,844.0,844.0,785.1,"7,013.00",818.0,820.0,"5,655,635.50",16-07-2026
SKHL,858.9,887.0,802.5,"26,143.00",887.0,818.0,"22,215,273.60",17-07-2026
SKHL,931.3,931.3,846.9,"18,051.00",920.0,887.0,"16,174,969.80",20-07-2026
SKHL,892.4,921.9,865.6,"22,590.00",899.0,920.0,"20,540,693.10",21-07-2026
SKHL,881.2,907.0,873.0,"11,903.00",905.0,899.0,"10,636,681.40",22-07-2026
SKHL,904.0,929.9,881.2,"17,258.00",929.0,905.0,"15,774,369.20",23-07-2026
SKHL,907.1,930.0,891.0,"10,125.00",915.0,935.0,"9,198,281.20",27-07-2026
SKHL,890.1,910.0,873.0,"5,564.00",905.0,915.0,"4,953,669.40",28-07-2026
SKHL,903.0,903.0,878.0,"5,088.00",894.0,905.0,"4,516,420.00",29-07-2026
SKHL,885.00,891.00,855.20,"11,782.00",871.00,894.00,"10,259,268.00",30-07-2026
