Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
EBL,502.0,504.9,495.0,"31,386.00",501.2,502.0,"15,740,894.30",10-08-2022
EBL,502.0,504.9,495.0,"31,386.00",501.2,502.0,"15,740,894.30",10-08-2022
EBL,502.0,504.9,495.0,"31,386.00",501.2,502.0,"15,740,894.30",10-08-2022
EBL,505.9,505.9,497.0,"24,378.00",499.9,501.2,"12,171,747.80",11-08-2022
EBL,505.9,505.9,497.0,"24,378.00",499.9,501.2,"12,171,747.80",12-08-2022
EBL,505.9,505.9,497.0,"24,378.00",499.9,501.2,"12,171,747.80",13-08-2022
EBL,500.0,503.9,496.0,"26,181.00",496.2,499.9,"13,086,680.60",14-08-2022
EBL,496.2,505.0,496.2,"21,492.00",505.0,496.2,"10,786,758.40",15-08-2022
EBL,508.0,510.1,501.0,"17,452.00",503.0,505.0,"8,811,028.50",16-08-2022
EBL,501.0,508.0,501.0,"18,929.00",506.0,503.0,"9,549,717.60",17-08-2022
EBL,515.0,515.0,505.0,"19,835.00",510.5,506.0,"10,101,706.00",18-08-2022
EBL,515.0,515.0,505.0,"19,835.00",510.5,506.0,"10,101,706.00",19-08-2022
EBL,515.0,515.0,505.0,"19,835.00",510.5,506.0,"10,101,706.00",20-08-2022
EBL,515.0,519.0,512.6,"28,413.00",515.5,510.5,"14,617,992.10",21-08-2022
EBL,513.0,515.0,510.0,"8,567.00",511.3,515.5,"4,389,607.30",22-08-2022
EBL,514.0,514.0,505.0,"14,669.00",509.0,511.3,"7,463,098.40",23-08-2022
EBL,513.0,515.0,508.0,"48,788.00",510.0,509.0,"25,009,674.30",24-08-2022
EBL,515.0,515.0,505.0,"23,470.00",508.9,510.0,"11,879,774.70",25-08-2022
EBL,511.0,511.0,500.0,"26,088.00",507.0,508.9,"13,103,530.50",26-08-2022
EBL,511.0,511.0,500.0,"26,088.00",507.0,508.9,"13,103,530.50",27-08-2022
EBL,507.0,507.0,491.0,"24,947.00",496.0,507.0,"12,418,130.70",28-08-2022
EBL,493.0,499.0,489.0,"19,092.00",498.0,496.0,"9,416,282.30",29-08-2022
EBL,504.9,504.9,497.0,"16,801.00",499.0,498.0,"8,382,854.70",30-08-2022
EBL,499.1,504.9,491.0,"16,133.00",492.0,499.0,"8,012,531.60",31-08-2022
EBL,497.0,497.0,485.1,"15,782.00",490.0,492.0,"7,718,158.10",01-09-2022
EBL,490.0,499.8,485.0,"10,325.00",485.0,490.0,"5,068,726.40",02-09-2022
EBL,490.0,499.8,485.0,"10,325.00",485.0,490.0,"5,068,726.40",03-09-2022
EBL,494.7,494.7,482.0,"18,187.00",488.9,485.0,"8,835,167.20",04-09-2022
EBL,495.0,495.0,485.2,"21,382.00",487.0,488.9,"10,458,200.10",05-09-2022
EBL,487.0,489.0,484.0,"10,871.00",487.0,487.0,"5,287,582.50",06-09-2022
EBL,487.5,489.0,482.2,"6,937.00",487.0,487.0,"3,363,911.20",07-09-2022
EBL,478.2,490.0,478.2,"7,789.00",487.2,487.0,"3,785,337.90",08-09-2022
EBL,478.2,490.0,478.2,"7,789.00",487.2,487.0,"3,785,337.90",09-09-2022
EBL,478.2,490.0,478.2,"7,789.00",487.2,487.0,"3,785,337.90",10-09-2022
EBL,488.0,492.7,485.0,"8,333.00",485.9,487.2,"4,066,979.10",11-09-2022
EBL,488.0,488.0,480.4,"10,503.00",480.5,485.9,"5,054,484.80",12-09-2022
EBL,490.10,490.10,481.00,"6,033.00",485.00,480.50,"2,930,328.10",13-09-2022
