Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
UHEWA,130.2,143.2,130.2,194.0,143.2,130.2,"26,058.10",11-08-2022
UHEWA,130.2,143.2,130.2,194.0,143.2,130.2,"26,058.10",12-08-2022
UHEWA,130.2,143.2,130.2,194.0,143.2,130.2,"26,058.10",13-08-2022
UHEWA,146.0,154.8,146.0,40.0,154.8,143.2,"6,015.00",14-08-2022
UHEWA,157.8,170.2,157.8,91.0,170.2,154.8,"15,087.90",15-08-2022
UHEWA,167.0,187.2,167.0,140.0,187.2,170.2,"24,967.60",16-08-2022
UHEWA,190.9,205.9,190.9,120.0,205.9,187.2,"24,263.00",17-08-2022
UHEWA,210.0,226.4,210.0,200.0,226.4,205.9,"44,835.00",18-08-2022
UHEWA,210.0,226.4,210.0,200.0,226.4,205.9,"44,835.00",19-08-2022
UHEWA,210.0,226.4,210.0,200.0,226.4,205.9,"44,835.00",20-08-2022
UHEWA,230.9,249.0,230.9,390.0,249.0,226.4,"96,666.00",21-08-2022
UHEWA,253.9,273.9,253.9,"5,420.00",273.9,249.0,"1,484,042.00",22-08-2022
UHEWA,279.3,301.2,279.3,"1,900.00",301.2,273.9,"571,739.00",23-08-2022
UHEWA,307.2,331.3,307.2,"2,390.00",331.3,301.2,"791,213.00",24-08-2022
UHEWA,337.0,364.4,337.0,"4,540.00",364.4,331.3,"1,653,687.00",25-08-2022
UHEWA,371.6,400.8,365.7,"72,219.00",384.0,364.4,"28,079,526.20",26-08-2022
UHEWA,371.6,400.8,365.7,"72,219.00",384.0,364.4,"28,079,526.20",27-08-2022
UHEWA,384.0,384.0,357.0,"39,110.00",357.0,384.0,"14,265,063.00",28-08-2022
UHEWA,350.0,355.0,345.0,"16,130.00",355.0,357.0,"5,640,576.20",29-08-2022
UHEWA,347.9,385.0,341.0,"12,412.00",385.0,355.0,"4,533,600.50",30-08-2022
UHEWA,377.3,391.6,362.5,"13,900.00",365.0,385.0,"5,160,047.00",31-08-2022
UHEWA,357.7,394.5,343.6,"28,648.00",389.0,365.0,"10,544,677.00",01-09-2022
UHEWA,381.3,401.0,373.0,"31,551.00",400.0,389.0,"12,325,394.00",02-09-2022
UHEWA,381.3,401.0,373.0,"31,551.00",400.0,389.0,"12,325,394.00",03-09-2022
UHEWA,392.10,423.00,392.00,"48,783.00",423.00,400.00,"20,011,929.40",04-09-2022
