Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SEF,9.79,9.79,9.65,"7,600.00",9.65,9.98,"74,114.00",10-08-2022
SEF,9.79,9.79,9.65,"7,600.00",9.65,9.98,"74,114.00",10-08-2022
SEF,9.56,9.82,9.56,"22,790.00",9.82,9.65,"220,404.40",11-08-2022
SEF,9.56,9.82,9.56,"22,790.00",9.82,9.65,"220,404.40",12-08-2022
SEF,9.56,9.82,9.56,"22,790.00",9.82,9.65,"220,404.40",13-08-2022
SEF,9.82,9.83,9.44,"14,700.00",9.44,9.82,"142,382.00",14-08-2022
SEF,9.41,9.59,9.41,"16,300.00",9.51,9.44,"155,298.44",15-08-2022
SEF,9.7,9.89,9.52,"54,835.00",9.71,9.51,"528,285.20",16-08-2022
SEF,9.9,9.9,9.9,100.00,9.9,9.71,990.00,17-08-2022
SEF,10.08,10.08,9.5,"17,200.00",9.74,9.9,"165,939.00",18-08-2022
SEF,10.08,10.08,9.5,"17,200.00",9.74,9.9,"165,939.00",19-08-2022
SEF,10.08,10.08,9.5,"17,200.00",9.74,9.9,"165,939.00",20-08-2022
SEF,9.55,9.75,9.37,"51,428.00",9.72,9.74,"487,360.00",21-08-2022
SEF,9.91,9.91,9.54,"106,692.00",9.6,9.72,"1,035,606.40",22-08-2022
SEF,9.41,9.41,8.92,"41,600.00",8.94,9.6,"376,534.00",23-08-2022
SEF,8.78,8.78,8.62,"4,000.00",8.62,8.94,"34,699.00",24-08-2022
SEF,8.62,8.62,8.62,"1,000.00",8.62,8.62,"8,620.00",25-08-2022
SEF,8.77,8.77,8.52,"5,200.00",8.69,8.62,"44,586.00",26-08-2022
SEF,8.77,8.77,8.52,"5,200.00",8.69,8.62,"44,586.00",27-08-2022
SEF,8.52,8.53,8.37,"22,180.00",8.53,8.69,"188,100.10",28-08-2022
SEF,8.37,8.37,8.37,"2,000.00",8.37,8.53,"16,740.00",29-08-2022
SEF,8.52,8.52,8.52,100.00,8.52,8.37,852.00,30-08-2022
