Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SWBBL,"1,272.00","1,300.00","1,272.00","6,724.00","1,293.00","1,296.00","8,671,431.10",10-08-2022
SWBBL,"1,272.00","1,300.00","1,272.00","6,724.00","1,293.00","1,296.00","8,671,431.10",10-08-2022
SWBBL,"1,312.00","1,315.00","1,290.00","19,903.00","1,290.00","1,293.00","25,872,160.80",11-08-2022
SWBBL,"1,312.00","1,315.00","1,290.00","19,903.00","1,290.00","1,293.00","25,872,160.80",12-08-2022
SWBBL,"1,312.00","1,315.00","1,290.00","19,903.00","1,290.00","1,293.00","25,872,160.80",13-08-2022
SWBBL,"1,315.80","1,344.00","1,302.10","50,022.00","1,313.00","1,290.00","66,101,060.50",14-08-2022
SWBBL,"1,334.90","1,348.00","1,315.00","40,975.00","1,346.00","1,313.00","54,932,427.30",15-08-2022
SWBBL,"1,350.00","1,358.90","1,321.00","29,037.00","1,326.00","1,346.00","39,052,156.40",16-08-2022
SWBBL,"1,338.90","1,339.00","1,320.00","12,348.00","1,325.90","1,326.00","16,369,378.70",17-08-2022
SWBBL,"1,352.40","1,352.40","1,325.00","25,268.00","1,336.00","1,325.90","33,629,107.90",18-08-2022
SWBBL,"1,352.40","1,352.40","1,325.00","25,268.00","1,336.00","1,325.90","33,629,107.90",19-08-2022
SWBBL,"1,352.40","1,352.40","1,325.00","25,268.00","1,336.00","1,325.90","33,629,107.90",20-08-2022
SWBBL,"1,346.00","1,357.80","1,336.00","15,303.00","1,337.20","1,336.00","20,646,655.30",21-08-2022
SWBBL,"1,354.00","1,354.00","1,316.00","10,480.00","1,329.00","1,337.20","13,887,359.40",22-08-2022
SWBBL,"1,345.00","1,345.00","1,315.00","3,141.00","1,329.00","1,329.00","4,171,555.00",23-08-2022
SWBBL,"1,330.00","1,350.00","1,325.00","6,098.00","1,330.00","1,329.00","8,100,825.60",24-08-2022
SWBBL,"1,330.00","1,345.90","1,310.10","10,864.00","1,323.00","1,330.00","14,394,535.10",25-08-2022
SWBBL,"1,314.00","1,314.00","1,295.10","4,973.00","1,297.50","1,323.00","6,483,555.80",26-08-2022
SWBBL,"1,314.00","1,314.00","1,295.10","4,973.00","1,297.50","1,323.00","6,483,555.80",27-08-2022
SWBBL,"1,276.00","1,315.00","1,267.60","5,427.00","1,275.00","1,297.50","6,956,738.20",28-08-2022
SWBBL,"1,254.00","1,280.00","1,253.00","4,490.00","1,275.00","1,275.00","5,695,453.90",29-08-2022
SWBBL,"1,290.00","1,290.00","1,259.00","5,930.00","1,260.00","1,275.00","7,513,182.10",30-08-2022
SWBBL,"1,280.00","1,280.00","1,235.00","5,129.00","1,245.00","1,260.00","6,396,420.10",31-08-2022
SWBBL,"1,247.90","1,258.90","1,212.00","9,126.00","1,240.00","1,245.00","11,229,209.80",01-09-2022
SWBBL,"1,238.00","1,239.00","1,216.00","3,019.00","1,216.00","1,240.00","3,706,244.20",02-09-2022
SWBBL,"1,238.00","1,239.00","1,216.00","3,019.00","1,216.00","1,240.00","3,706,244.20",03-09-2022
SWBBL,"1,237.00","1,250.00","1,220.00","3,784.00","1,230.00","1,216.00","4,651,463.50",04-09-2022
SWBBL,"1,221.00","1,240.00","1,221.00","3,942.00","1,239.60","1,230.00","4,858,723.10",05-09-2022
