Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
NHPC,265.0,267.8,259.0,"58,853.00",262.0,263.7,"15,504,996.80",10-08-2022
NHPC,265.0,267.8,259.0,"58,853.00",262.0,263.7,"15,504,996.80",10-08-2022
NHPC,258.1,266.8,252.0,"75,490.00",254.0,262.0,"19,505,012.40",11-08-2022
NHPC,258.1,266.8,252.0,"75,490.00",254.0,262.0,"19,505,012.40",12-08-2022
NHPC,258.1,266.8,252.0,"75,490.00",254.0,262.0,"19,505,012.40",13-08-2022
NHPC,254.0,258.0,245.0,"114,547.00",246.0,254.0,"28,462,100.30",14-08-2022
NHPC,246.0,260.0,242.2,"99,113.00",260.0,246.0,"25,281,954.90",15-08-2022
NHPC,265.2,266.8,248.2,"149,251.00",250.0,260.0,"38,118,035.70",16-08-2022
NHPC,255.0,255.9,247.0,"80,063.00",249.9,250.0,"20,073,642.20",17-08-2022
NHPC,245.0,263.0,245.0,"130,226.00",260.5,249.9,"33,521,134.80",18-08-2022
NHPC,245.0,263.0,245.0,"130,226.00",260.5,249.9,"33,521,134.80",19-08-2022
NHPC,245.0,263.0,245.0,"130,226.00",260.5,249.9,"33,521,134.80",20-08-2022
NHPC,263.9,265.7,251.0,"104,125.00",254.2,260.5,"26,903,866.90",21-08-2022
NHPC,249.2,259.0,249.2,"88,459.00",252.4,254.2,"22,403,145.00",22-08-2022
NHPC,249.0,255.8,249.0,"50,032.00",255.0,252.4,"12,694,628.50",23-08-2022
NHPC,253.0,258.7,252.0,"46,417.00",256.0,255.0,"11,770,048.30",24-08-2022
NHPC,252.0,259.0,249.9,"66,996.00",250.1,256.0,"16,842,242.80",25-08-2022
NHPC,250.0,250.0,243.2,"46,043.00",245.1,250.1,"11,312,449.40",26-08-2022
NHPC,250.0,250.0,243.2,"46,043.00",245.1,250.1,"11,312,449.40",27-08-2022
NHPC,240.2,246.9,237.0,"117,744.00",238.0,245.1,"28,275,857.90",28-08-2022
NHPC,233.3,239.8,233.3,"41,840.00",237.0,238.0,"9,901,229.10",29-08-2022
