Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
CIT,"2,258.90","2,346.00","2,230.00","47,199.00","2,254.00","2,214.62","106,879,467.80",10-08-2022
CIT,"2,258.90","2,346.00","2,230.00","47,199.00","2,254.00","2,214.62","106,879,467.80",10-08-2022
CIT,"2,258.90","2,346.00","2,230.00","47,199.00","2,254.00","2,214.62","106,879,467.80",10-08-2022
CIT,"2,299.00","2,299.00","2,190.00","17,167.00","2,192.00","2,254.00","38,119,010.30",11-08-2022
CIT,"2,299.00","2,299.00","2,190.00","17,167.00","2,192.00","2,254.00","38,119,010.30",12-08-2022
CIT,"2,299.00","2,299.00","2,190.00","17,167.00","2,192.00","2,254.00","38,119,010.30",13-08-2022
CIT,"2,195.00","2,200.00","2,097.00","14,781.00","2,107.00","2,192.00","31,504,309.00",14-08-2022
CIT,"2,108.00","2,129.30","2,105.00","10,091.00","2,120.10","2,107.00","21,399,189.40",15-08-2022
CIT,"2,131.10","2,150.00","2,112.00","9,113.00","2,115.00","2,120.10","19,463,045.20",16-08-2022
CIT,"2,120.00","2,128.00","2,100.00","4,083.00","2,110.00","2,115.00","8,635,032.10",17-08-2022
CIT,"2,105.00","2,126.90","2,105.00","8,167.00","2,114.00","2,110.00","17,292,029.10",18-08-2022
CIT,"2,105.00","2,126.90","2,105.00","8,167.00","2,114.00","2,110.00","17,292,029.10",19-08-2022
CIT,"2,105.00","2,126.90","2,105.00","8,167.00","2,114.00","2,110.00","17,292,029.10",20-08-2022
CIT,"2,145.00","2,156.20","2,107.00","6,690.00","2,110.00","2,114.00","14,194,192.10",21-08-2022
CIT,"2,113.00","2,118.00","2,099.00","6,279.00","2,108.00","2,110.00","13,240,709.60",22-08-2022
CIT,"2,140.00","2,140.00","2,105.00","4,532.00","2,110.00","2,108.00","9,567,270.00",23-08-2022
CIT,"2,120.00","2,125.00","2,102.50","6,866.00","2,117.00","2,110.00","14,510,759.80",24-08-2022
CIT,"2,107.00","2,116.00","2,101.00","6,123.00","2,104.00","2,117.00","12,905,028.20",25-08-2022
CIT,"2,100.00","2,100.00","2,088.00","5,064.00","2,088.00","2,104.00","10,602,866.80",26-08-2022
CIT,"2,100.00","2,100.00","2,088.00","5,064.00","2,088.00","2,104.00","10,602,866.80",27-08-2022
CIT,"2,068.00","2,100.00","2,029.70","8,560.00","2,037.00","2,088.00","17,576,851.00",28-08-2022
CIT,"2,011.00","2,033.00","2,007.00","5,359.00","2,008.00","2,037.00","10,791,577.30",29-08-2022
