Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
BUNGAL,690.0,690.0,620.8,"85,489.00",630.0,665.1,"55,012,626.90",06-07-2026
BUNGAL,630.0,650.0,629.5,"79,467.00",635.0,630.0,"50,546,537.60",07-07-2026
BUNGAL,635.0,654.0,587.0,"84,365.00",600.5,635.0,"51,701,496.50",08-07-2026
BUNGAL,600.0,605.0,578.0,"42,423.00",585.0,600.5,"24,754,030.00",09-07-2026
BUNGAL,571.1,609.0,571.1,"39,341.00",600.1,585.0,"23,470,169.90",10-07-2026
BUNGAL,616.9,616.9,568.5,"36,819.00",575.0,600.1,"21,415,686.00",13-07-2026
BUNGAL,575.0,587.0,558.0,"48,150.00",575.0,575.0,"27,609,204.70",14-07-2026
BUNGAL,562.0,580.0,555.8,"50,118.00",560.0,575.0,"28,526,979.10",15-07-2026
BUNGAL,571.9,588.8,560.2,"40,201.00",585.0,560.0,"23,160,857.20",16-07-2026
BUNGAL,576.0,625.2,576.0,"55,241.00",625.2,585.0,"33,926,724.10",17-07-2026
BUNGAL,594.0,667.4,594.0,"92,800.00",667.0,625.2,"59,489,657.40",20-07-2026
BUNGAL,638.0,665.0,638.0,"74,590.00",638.0,667.0,"48,154,117.20",21-07-2026
BUNGAL,607.0,723.0,607.0,"65,595.00",705.0,638.0,"42,068,325.80",22-07-2026
BUNGAL,669.80,669.80,612.10,"191,406.00",635.00,705.00,"122,425,656.70",23-07-2026
