Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
JHAPA,"1,260.00","1,289.90","1,203.00","13,018.00","1,231.00","1,269.00","16,024,113.70",06-07-2026
JHAPA,"1,200.00","1,300.00","1,181.00","12,000.00","1,181.00","1,231.00","14,689,147.70",07-07-2026
JHAPA,"1,180.00","1,246.50","1,110.70","13,188.00","1,140.00","1,181.00","15,294,676.80",08-07-2026
JHAPA,"1,083.00","1,141.00","1,021.50","31,997.00","1,127.00","1,140.00","35,154,840.40",09-07-2026
JHAPA,"1,094.20","1,128.00","1,070.70","8,329.00","1,077.00","1,127.00","9,174,471.50",10-07-2026
JHAPA,"1,045.00","1,141.00","1,039.10","10,573.00","1,039.10","1,077.00","11,227,104.70",13-07-2026
JHAPA,"1,021.10","1,135.00","1,010.00","12,719.00","1,020.00","1,039.10","13,149,152.60",14-07-2026
JHAPA,"1,040.00","1,071.00","1,009.00","11,369.00","1,048.00","1,020.00","11,862,936.40",15-07-2026
JHAPA,"1,000.00","1,090.00","1,000.00","6,912.00","1,015.00","1,048.00","7,261,911.80",16-07-2026
JHAPA,"1,015.00","1,135.00","1,004.00","19,345.00","1,111.00","1,015.00","21,177,059.80",17-07-2026
JHAPA,"1,120.00","1,177.00","1,078.00","17,738.00","1,140.00","1,111.00","20,272,133.60",20-07-2026
JHAPA,"1,083.00","1,218.00","1,083.00","11,053.00","1,148.00","1,140.00","12,735,874.90",21-07-2026
JHAPA,"1,126.00","1,155.00","1,111.00","11,465.00","1,111.00","1,148.00","12,862,953.60",22-07-2026
JHAPA,"1,100.00","1,148.00","1,100.00","12,509.00","1,148.00","1,111.00","14,025,143.20",23-07-2026
JHAPA,"1,201.10","1,223.90","1,130.30","13,356.00","1,157.00","1,211.10","15,631,940.00",27-07-2026
JHAPA,"1,199.20","1,199.20","1,121.10","6,428.00","1,135.00","1,157.00","7,350,631.00",28-07-2026
JHAPA,"1,136.00","1,140.00","1,120.00","3,628.00","1,134.90","1,135.00","4,103,092.80",29-07-2026
