Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
PMHPL,238.1,252.1,235.2,"10,922.00",242.0,242.0,"2,655,698.70",10-08-2022
PMHPL,238.1,252.1,235.2,"10,922.00",242.0,242.0,"2,655,698.70",10-08-2022
PMHPL,238.1,246.8,236.0,"12,645.00",237.0,242.0,"3,039,141.60",11-08-2022
PMHPL,238.1,246.8,236.0,"12,645.00",237.0,242.0,"3,039,141.60",12-08-2022
PMHPL,238.1,246.8,236.0,"12,645.00",237.0,242.0,"3,039,141.60",13-08-2022
PMHPL,240.0,241.0,227.5,"8,365.00",230.9,237.0,"1,958,876.00",14-08-2022
PMHPL,234.0,253.9,232.0,"12,294.00",253.9,230.9,"3,004,398.50",15-08-2022
PMHPL,248.9,256.0,239.5,"14,560.00",240.0,253.9,"3,601,994.50",16-08-2022
PMHPL,240.0,248.0,235.4,"5,520.00",243.0,240.0,"1,319,843.00",17-08-2022
PMHPL,239.0,255.0,239.0,"12,858.00",255.0,243.0,"3,215,417.50",18-08-2022
PMHPL,239.0,255.0,239.0,"12,858.00",255.0,243.0,"3,215,417.50",19-08-2022
PMHPL,239.0,255.0,239.0,"12,858.00",255.0,243.0,"3,215,417.50",20-08-2022
PMHPL,250.0,254.5,246.0,"20,143.00",246.0,255.0,"5,012,914.50",21-08-2022
PMHPL,242.0,248.9,237.7,"8,150.00",244.9,246.0,"1,982,882.20",22-08-2022
PMHPL,241.0,244.0,236.1,"5,772.00",243.0,244.9,"1,389,157.00",23-08-2022
PMHPL,245.0,245.0,236.0,"6,424.00",242.0,243.0,"1,532,540.00",24-08-2022
PMHPL,244.0,245.0,230.0,"4,805.00",243.7,242.0,"1,140,661.70",25-08-2022
PMHPL,239.0,239.0,231.8,"2,670.00",231.8,243.7,"623,392.00",26-08-2022
PMHPL,239.0,239.0,231.8,"2,670.00",231.8,243.7,"623,392.00",27-08-2022
PMHPL,231.0,235.6,222.1,"8,262.00",223.0,231.8,"1,864,749.20",28-08-2022
PMHPL,219.0,231.5,215.0,"4,510.00",226.4,223.0,"1,019,838.00",29-08-2022
PMHPL,230.8,230.9,225.0,"4,650.00",225.0,226.4,"1,059,245.00",30-08-2022
PMHPL,221.0,224.0,216.2,"2,971.00",216.7,225.0,"646,805.00",31-08-2022
PMHPL,213.1,218.9,213.1,"3,995.00",218.8,216.7,"860,361.50",01-09-2022
PMHPL,216.2,217.0,215.0,"2,300.00",217.0,218.8,"496,792.70",02-09-2022
PMHPL,216.2,217.0,215.0,"2,300.00",217.0,218.8,"496,792.70",03-09-2022
PMHPL,220.0,223.8,214.0,"2,696.00",223.8,217.0,"588,079.50",04-09-2022
PMHPL,220.0,224.0,216.0,"5,141.00",221.9,223.8,"1,126,650.70",05-09-2022
PMHPL,217.5,218.9,213.0,"4,766.00",216.9,221.9,"1,024,921.20",06-09-2022
PMHPL,212.6,216.0,208.4,"4,620.00",211.7,216.9,"984,679.00",07-09-2022
PMHPL,211.0,215.9,206.1,"3,100.00",215.9,211.7,"651,888.50",08-09-2022
PMHPL,211.0,215.9,206.1,"3,100.00",215.9,211.7,"651,888.50",09-09-2022
PMHPL,211.0,215.9,206.1,"3,100.00",215.9,211.7,"651,888.50",10-09-2022
PMHPL,216.0,220.0,211.8,"5,334.00",216.0,215.9,"1,157,128.10",11-09-2022
PMHPL,212.2,212.2,209.0,"2,071.00",210.0,216.0,"437,790.00",12-09-2022
PMHPL,210.0,216.5,210.0,"3,779.00",215.0,210.0,"811,037.60",13-09-2022
PMHPL,214.1,228.0,214.1,"16,900.00",227.5,215.0,"3,735,204.50",14-09-2022
PMHPL,223.0,228.0,210.0,"11,643.00",212.9,227.5,"2,505,026.80",15-09-2022
PMHPL,209.0,212.0,206.0,"2,765.00",209.0,212.9,"579,510.00",16-09-2022
PMHPL,209.0,212.0,206.0,"2,765.00",209.0,212.9,"579,510.00",17-09-2022
PMHPL,204.9,208.0,198.0,"10,208.00",198.0,209.0,"2,050,431.30",18-09-2022
PMHPL,204.9,208.0,198.0,"10,208.00",198.0,209.0,"2,050,431.30",19-09-2022
PMHPL,195.0,195.0,188.0,"5,648.00",191.0,198.0,"1,080,139.00",20-09-2022
PMHPL,194.0,196.0,192.1,"6,063.00",193.0,191.0,"1,175,687.70",21-09-2022
PMHPL,189.2,203.5,187.0,"4,390.00",191.0,193.0,"844,756.00",22-09-2022
PMHPL,189.2,203.5,187.0,"4,390.00",191.0,193.0,"844,756.00",23-09-2022
PMHPL,189.2,203.5,187.0,"4,390.00",191.0,193.0,"844,756.00",24-09-2022
PMHPL,188.0,191.0,184.3,960.00,184.3,191.0,"177,281.00",25-09-2022
PMHPL,188.0,191.0,184.3,960.00,184.3,191.0,"177,281.00",26-09-2022
PMHPL,186.0,197.5,184.2,"5,716.00",184.2,184.3,"1,077,284.50",27-09-2022
PMHPL,183.2,192.0,183.2,"1,579.00",192.0,184.2,"297,187.30",28-09-2022
PMHPL,190.2,190.2,185.3,"2,310.00",185.3,192.0,"434,451.70",29-09-2022
PMHPL,190.2,190.2,185.3,"2,310.00",185.3,192.0,"434,451.70",30-09-2022
PMHPL,190.2,190.2,185.3,"2,310.00",185.3,192.0,"434,451.70",01-10-2022
PMHPL,190.2,190.2,185.3,"2,310.00",185.3,192.0,"434,451.70",02-10-2022
PMHPL,190.2,190.2,185.3,"2,310.00",185.3,192.0,"434,451.70",03-10-2022
PMHPL,190.2,190.2,185.3,"2,310.00",185.3,192.0,"434,451.70",04-10-2022
PMHPL,190.2,190.2,185.3,"2,310.00",185.3,192.0,"434,451.70",05-10-2022
PMHPL,190.2,190.2,185.3,"2,310.00",185.3,192.0,"434,451.70",06-10-2022
PMHPL,190.2,190.2,185.3,"2,310.00",185.3,192.0,"434,451.70",07-10-2022
PMHPL,190.2,190.2,185.3,"2,310.00",185.3,192.0,"434,451.70",08-10-2022
PMHPL,189.0,198.9,183.0,"2,432.00",198.9,185.3,"474,208.90",09-10-2022
PMHPL,195.0,195.0,188.2,"2,615.00",188.2,198.9,"496,440.00",10-10-2022
PMHPL,184.5,187.6,178.0,"2,179.00",184.1,188.2,"401,210.00",11-10-2022
PMHPL,182.1,190.5,182.0,"2,888.00",187.0,184.1,"538,477.00",12-10-2022
PMHPL,185.0,189.9,184.0,"1,260.00",187.0,187.0,"233,812.00",13-10-2022
PMHPL,185.0,189.9,184.0,"1,260.00",187.0,187.0,"233,812.00",14-10-2022
PMHPL,185.0,189.9,184.0,"1,260.00",187.0,187.0,"233,812.00",15-10-2022
PMHPL,185.0,187.0,174.6,"4,841.00",177.0,187.0,"886,757.00",16-10-2022
