Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
NIBLGF,10.0,10.0,9.0,"6,800.00",9.0,10.0,"61,839.00",27-04-2023
NIBLGF,10.0,10.0,9.0,"6,800.00",9.0,10.0,"61,839.00",28-04-2023
NIBLGF,10.0,10.0,9.0,"6,800.00",9.0,10.0,"61,839.00",29-04-2023
NIBLGF,8.83,8.83,8.1,"14,350.00",8.2,9.0,"121,457.00",30-04-2023
NIBLGF,8.83,8.83,8.1,"14,350.00",8.2,9.0,"121,457.00",01-05-2023
NIBLGF,8.04,8.19,7.61,"7,100.00",8.04,8.2,"57,094.00",02-05-2023
NIBLGF,8.0,8.0,7.45,"2,450.00",7.61,8.04,"19,061.00",03-05-2023
NIBLGF,7.6,8.37,7.19,"8,587.00",8.36,7.61,"66,387.94",04-05-2023
NIBLGF,7.6,8.37,7.19,"8,587.00",8.36,7.61,"66,387.94",05-05-2023
NIBLGF,7.6,8.37,7.19,"8,587.00",8.36,7.61,"66,387.94",06-05-2023
NIBLGF,8.2,8.2,7.88,"2,500.00",7.98,8.36,"19,860.00",07-05-2023
NIBLGF,7.87,8.37,7.59,"4,450.00",8.37,7.98,"34,684.75",08-05-2023
NIBLGF,8.21,8.21,7.9,"4,225.00",8.14,8.37,"34,031.75",09-05-2023
NIBLGF,7.98,8.0,7.68,"3,050.00",7.93,8.14,"24,066.50",10-05-2023
NIBLGF,7.78,7.89,7.63,"3,400.00",7.89,7.93,"26,548.00",11-05-2023
NIBLGF,7.78,7.89,7.63,"3,400.00",7.89,7.93,"26,548.00",12-05-2023
NIBLGF,7.78,7.89,7.63,"3,400.00",7.89,7.93,"26,548.00",13-05-2023
NIBLGF,7.89,7.89,7.4,"3,975.00",7.59,7.89,"30,372.00",14-05-2023
NIBLGF,7.74,8.34,7.74,"6,250.00",8.34,7.59,"49,647.75",15-05-2023
NIBLGF,8.49,8.65,7.87,"6,345.00",7.87,8.34,"52,700.35",16-05-2023
NIBLGF,7.8,8.29,7.45,"2,675.00",8.29,7.87,"20,607.25",17-05-2023
NIBLGF,8.14,8.15,7.99,"12,000.00",8.03,8.29,"97,447.50",18-05-2023
NIBLGF,8.14,8.15,7.99,"12,000.00",8.03,8.29,"97,447.50",19-05-2023
NIBLGF,8.14,8.15,7.99,"12,000.00",8.03,8.29,"97,447.50",20-05-2023
NIBLGF,8.18,8.45,8.18,"3,800.00",8.19,8.03,"31,722.00",21-05-2023
NIBLGF,8.04,8.18,8.04,"1,600.00",8.04,8.19,"12,907.00",22-05-2023
NIBLGF,8.04,8.52,7.9,"4,100.00",8.33,8.04,"33,605.00",23-05-2023
NIBLGF,8.17,8.17,8.04,"1,200.00",8.14,8.33,"9,698.00",24-05-2023
NIBLGF,8.17,8.17,8.04,"1,200.00",8.14,8.33,"9,698.00",25-05-2023
NIBLGF,8.17,8.17,8.04,"1,200.00",8.14,8.33,"9,698.00",26-05-2023
NIBLGF,8.17,8.17,8.04,"1,200.00",8.14,8.33,"9,698.00",27-05-2023
NIBLGF,7.98,8.29,7.94,"3,600.00",8.29,8.14,"29,170.00",28-05-2023
NIBLGF,7.98,8.29,7.94,"3,600.00",8.29,8.14,"29,170.00",29-05-2023
NIBLGF,8.13,8.29,7.99,"10,200.00",8.0,8.29,"83,171.25",30-05-2023
NIBLGF,8.0,8.16,7.9,"2,350.00",8.16,8.0,"18,823.00",31-05-2023
NIBLGF,8.0,8.17,8.0,500.00,8.17,8.16,"4,067.00",01-06-2023
NIBLGF,8.0,8.17,8.0,500.00,8.17,8.16,"4,067.00",02-06-2023
NIBLGF,8.0,8.17,8.0,500.00,8.17,8.16,"4,067.00",03-06-2023
NIBLGF,8.2,8.32,8.0,"3,825.00",8.32,8.17,"30,812.50",04-06-2023
NIBLGF,8.47,8.79,8.43,"2,025.00",8.43,8.32,"17,278.45",05-06-2023
NIBLGF,8.27,8.51,7.8,"5,050.00",8.51,8.43,"40,286.50",06-06-2023
NIBLGF,8.35,8.35,8.05,"1,000.00",8.21,8.51,"8,192.00",07-06-2023
NIBLGF,8.1,8.15,8.1,"1,700.00",8.11,8.21,"13,795.00",08-06-2023
NIBLGF,8.1,8.15,8.1,"1,700.00",8.11,8.21,"13,795.00",09-06-2023
NIBLGF,8.1,8.15,8.1,"1,700.00",8.11,8.21,"13,795.00",10-06-2023
NIBLGF,7.95,8.43,7.67,"5,500.00",8.25,8.11,"44,049.50",11-06-2023
NIBLGF,8.2,8.46,7.91,"14,950.00",8.0,8.25,"119,399.75",12-06-2023
NIBLGF,7.93,8.08,7.92,"2,300.00",7.95,8.0,"18,279.00",13-06-2023
NIBLGF,7.95,8.02,7.93,"4,400.00",8.02,7.95,"35,205.00",14-06-2023
NIBLGF,8.02,8.02,7.93,700.00,7.93,8.02,"5,579.00",15-06-2023
NIBLGF,8.02,8.02,7.93,700.00,7.93,8.02,"5,579.00",16-06-2023
NIBLGF,8.02,8.02,7.93,700.00,7.93,8.02,"5,579.00",17-06-2023
NIBLGF,7.97,8.33,7.97,"1,800.00",8.33,7.93,"14,572.25",18-06-2023
NIBLGF,8.49,8.82,8.33,"3,276.00",8.65,8.33,"28,186.40",19-06-2023
NIBLGF,8.48,8.48,8.16,"10,300.00",8.32,8.65,"85,704.00",20-06-2023
NIBLGF,8.16,8.79,8.16,"2,650.00",8.79,8.32,"21,980.50",21-06-2023
NIBLGF,8.62,8.62,8.3,"6,625.00",8.31,8.79,"55,785.75",22-06-2023
NIBLGF,8.62,8.62,8.3,"6,625.00",8.31,8.79,"55,785.75",23-06-2023
NIBLGF,8.62,8.62,8.3,"6,625.00",8.31,8.79,"55,785.75",24-06-2023
NIBLGF,8.15,8.15,7.68,"8,475.00",7.83,8.31,"68,420.75",25-06-2023
NIBLGF,7.7,8.13,7.7,"3,600.00",8.03,7.83,"28,905.25",26-06-2023
