Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
MKLB,"1,019.30","1,045.00","1,000.00","1,176.00","1,024.10","1,040.00","1,193,752.50",10-08-2022
MKLB,"1,019.30","1,045.00","1,000.00","1,176.00","1,024.10","1,040.00","1,193,752.50",10-08-2022
MKLB,"1,044.00","1,054.00","1,017.00",757.00,"1,035.00","1,024.10","774,748.00",11-08-2022
MKLB,"1,044.00","1,054.00","1,017.00",757.00,"1,035.00","1,024.10","774,748.00",12-08-2022
MKLB,"1,044.00","1,054.00","1,017.00",757.00,"1,035.00","1,024.10","774,748.00",13-08-2022
MKLB,"1,017.00","1,037.30","1,001.00",610.00,"1,002.00","1,035.00","618,377.30",14-08-2022
MKLB,"1,002.00","1,095.00",985.00,"1,268.00","1,079.00","1,002.00","1,324,412.30",15-08-2022
MKLB,"1,094.50","1,094.50","1,032.00","2,038.00","1,089.00","1,079.00","2,151,269.90",16-08-2022
MKLB,"1,068.00","1,075.00","1,034.00","1,414.00","1,034.00","1,089.00","1,481,807.00",17-08-2022
MKLB,"1,045.00","1,064.00","1,045.00","1,532.00","1,048.60","1,034.00","1,609,836.60",18-08-2022
MKLB,"1,045.00","1,064.00","1,045.00","1,532.00","1,048.60","1,034.00","1,609,836.60",19-08-2022
MKLB,"1,045.00","1,064.00","1,045.00","1,532.00","1,048.60","1,034.00","1,609,836.60",20-08-2022
MKLB,"1,031.00","1,051.60","1,031.00",441.00,"1,038.00","1,048.60","459,686.60",21-08-2022
MKLB,"1,018.00","1,030.00","1,018.00",279.00,"1,022.50","1,038.00","285,055.50",22-08-2022
MKLB,"1,005.20","1,025.00","1,005.20",293.00,"1,020.00","1,022.50","297,785.00",23-08-2022
MKLB,"1,030.00","1,040.40","1,015.20",400.00,"1,020.00","1,020.00","411,624.60",24-08-2022
MKLB,"1,002.00","1,100.00","1,002.00",275.00,"1,025.00","1,020.00","291,214.00",25-08-2022
MKLB,"1,016.00","1,032.00","1,012.00",362.00,"1,015.00","1,025.00","367,745.00",26-08-2022
MKLB,"1,016.00","1,032.00","1,012.00",362.00,"1,015.00","1,025.00","367,745.00",27-08-2022
MKLB,"1,015.00","1,020.00",975.20,700.00,976.00,"1,015.00","695,290.00",28-08-2022
MKLB,958.00,976.00,945.10,"1,055.00",956.50,976.00,"1,008,224.00",29-08-2022
MKLB,975.60,989.00,952.50,864.00,952.50,956.50,"836,755.10",30-08-2022
MKLB,951.00,970.00,941.00,"1,474.00",950.00,952.50,"1,415,389.00",31-08-2022
MKLB,950.00,967.00,950.00,161.00,967.00,950.00,"155,248.50",01-09-2022
MKLB,952.00,952.50,948.10,156.00,951.00,967.00,"148,351.00",02-09-2022
MKLB,952.00,952.50,948.10,156.00,951.00,967.00,"148,351.00",03-09-2022
MKLB,965.00,971.00,946.50,441.00,960.00,951.00,"423,293.00",04-09-2022
MKLB,950.00,954.00,950.00,112.00,953.00,960.00,"106,501.00",05-09-2022
MKLB,938.00,940.00,935.00,360.00,936.00,953.00,"337,097.20",06-09-2022
MKLB,954.00,970.00,922.00,187.00,922.00,936.00,"176,003.60",07-09-2022
MKLB,916.00,940.00,916.00,216.00,922.00,922.00,"199,870.70",08-09-2022
MKLB,916.00,940.00,916.00,216.00,922.00,922.00,"199,870.70",09-09-2022
MKLB,916.00,940.00,916.00,216.00,922.00,922.00,"199,870.70",10-09-2022
MKLB,940.00,958.80,923.00,238.00,932.00,922.00,"222,507.00",11-09-2022
MKLB,920.00,921.00,905.40,295.00,910.00,932.00,"270,362.00",12-09-2022
MKLB,915.00,925.00,901.10,160.00,901.10,910.00,"146,002.00",13-09-2022
MKLB,918.00,940.00,918.00,433.00,940.00,901.10,"403,445.00",14-09-2022
MKLB,935.00,935.00,922.00,716.00,922.00,940.00,"660,953.00",15-09-2022
MKLB,905.00,910.00,904.30,175.00,910.00,922.00,"158,468.00",16-09-2022
MKLB,905.00,910.00,904.30,175.00,910.00,922.00,"158,468.00",17-09-2022
MKLB,892.00,900.00,892.00,150.00,900.00,910.00,"134,464.00",18-09-2022
MKLB,892.00,900.00,892.00,150.00,900.00,910.00,"134,464.00",19-09-2022
MKLB,891.00,895.00,868.00,484.00,868.00,900.00,"425,390.00",20-09-2022
MKLB,870.00,885.00,870.00,96.00,885.00,868.00,"84,660.00",21-09-2022
MKLB,889.00,890.00,872.20,100.00,889.00,885.00,"87,750.00",22-09-2022
MKLB,889.00,890.00,872.20,100.00,889.00,885.00,"87,750.00",23-09-2022
MKLB,889.00,890.00,872.20,100.00,889.00,885.00,"87,750.00",24-09-2022
MKLB,871.40,876.00,867.00,183.00,867.00,889.00,"159,444.60",25-09-2022
MKLB,871.40,876.00,867.00,183.00,867.00,889.00,"159,444.60",26-09-2022
MKLB,851.00,884.20,851.00,289.00,865.00,867.00,"249,973.00",27-09-2022
MKLB,847.70,855.00,831.10,155.00,855.00,865.00,"130,439.50",28-09-2022
MKLB,871.00,888.00,871.00,30.00,876.00,855.00,"26,350.00",29-09-2022
MKLB,871.00,888.00,871.00,30.00,876.00,855.00,"26,350.00",30-09-2022
MKLB,871.00,888.00,871.00,30.00,876.00,855.00,"26,350.00",01-10-2022
MKLB,871.00,888.00,871.00,30.00,876.00,855.00,"26,350.00",02-10-2022
MKLB,871.00,888.00,871.00,30.00,876.00,855.00,"26,350.00",03-10-2022
MKLB,871.00,888.00,871.00,30.00,876.00,855.00,"26,350.00",04-10-2022
MKLB,871.00,888.00,871.00,30.00,876.00,855.00,"26,350.00",05-10-2022
MKLB,871.00,888.00,871.00,30.00,876.00,855.00,"26,350.00",06-10-2022
MKLB,871.00,888.00,871.00,30.00,876.00,855.00,"26,350.00",07-10-2022
MKLB,871.00,888.00,871.00,30.00,876.00,855.00,"26,350.00",08-10-2022
MKLB,881.00,895.00,870.00,195.00,885.00,876.00,"172,095.00",09-10-2022
MKLB,891.00,938.40,891.00,650.00,895.00,885.00,"596,988.00",10-10-2022
MKLB,877.30,890.00,877.30,96.00,882.10,895.00,"85,154.00",11-10-2022
MKLB,882.00,900.00,882.00,90.00,900.00,882.10,"80,767.00",12-10-2022
MKLB,884.00,902.70,884.00,128.00,887.00,900.00,"114,523.00",13-10-2022
MKLB,884.00,902.70,884.00,128.00,887.00,900.00,"114,523.00",14-10-2022
MKLB,884.00,902.70,884.00,128.00,887.00,900.00,"114,523.00",15-10-2022
MKLB,870.00,890.00,860.00,175.00,890.00,887.00,"153,270.50",16-10-2022
MKLB,880.00,880.00,867.20,67.00,870.00,890.00,"58,563.70",17-10-2022
MKLB,880.00,880.00,867.20,67.00,870.00,890.00,"58,563.70",18-10-2022
MKLB,870.00,870.00,836.10,837.00,850.00,870.00,"704,254.40",19-10-2022
MKLB,834.00,840.00,816.40,603.00,820.00,850.00,"495,868.20",20-10-2022
MKLB,834.00,840.00,816.40,603.00,820.00,850.00,"495,868.20",21-10-2022
MKLB,834.00,840.00,816.40,603.00,820.00,850.00,"495,868.20",22-10-2022
MKLB,808.00,830.00,800.10,770.00,813.40,820.00,"619,416.00",23-10-2022
MKLB,808.00,830.00,800.10,770.00,813.40,820.00,"619,416.00",24-10-2022
MKLB,808.00,830.00,800.10,770.00,813.40,820.00,"619,416.00",25-10-2022
MKLB,808.00,830.00,800.10,770.00,813.40,820.00,"619,416.00",26-10-2022
MKLB,808.00,830.00,800.10,770.00,813.40,820.00,"619,416.00",27-10-2022
MKLB,808.00,830.00,800.10,770.00,813.40,820.00,"619,416.00",28-10-2022
MKLB,808.00,830.00,800.10,770.00,813.40,820.00,"619,416.00",29-10-2022
MKLB,808.00,830.00,800.10,770.00,813.40,820.00,"619,416.00",30-10-2022
MKLB,813.00,815.00,797.00,410.00,799.00,813.40,"328,252.40",31-10-2022
MKLB,799.00,815.00,799.00,466.00,805.00,799.00,"374,583.50",01-11-2022
MKLB,810.50,853.10,810.50,424.00,820.00,805.00,"350,647.50",02-11-2022
MKLB,820.00,836.00,820.00,94.00,836.00,820.00,"77,240.00",03-11-2022
MKLB,820.00,836.00,820.00,94.00,836.00,820.00,"77,240.00",04-11-2022
MKLB,852.70,915.50,850.00,815.00,915.50,836.00,"713,191.00",06-11-2022
MKLB,932.00,953.70,912.00,"1,153.00",930.00,915.50,"1,071,994.70",07-11-2022
MKLB,912.00,912.00,880.00,379.00,892.00,930.00,"337,821.00",08-11-2022
MKLB,876.10,898.00,871.00,260.00,871.00,892.00,"228,217.70",09-11-2022
MKLB,856.00,870.00,850.00,514.00,850.00,871.00,"438,489.00",10-11-2022
MKLB,856.00,870.00,850.00,514.00,850.00,871.00,"438,489.00",10-11-2022
MKLB,856.00,870.00,850.00,514.00,850.00,871.00,"438,489.00",11-11-2022
MKLB,856.00,870.00,850.00,514.00,850.00,871.00,"438,489.00",12-11-2022
MKLB,833.00,833.00,790.00,700.00,806.00,850.00,"562,385.00",13-11-2022
MKLB,806.00,850.00,806.00,290.00,835.00,806.00,"241,515.00",14-11-2022
MKLB,821.00,830.00,820.00,384.00,826.00,835.00,"316,234.00",15-11-2022
MKLB,815.00,826.00,815.00,61.00,826.00,826.00,"49,966.00",16-11-2022
MKLB,812.00,847.00,812.00,345.00,847.00,826.00,"286,022.50",17-11-2022
MKLB,812.00,847.00,812.00,345.00,847.00,826.00,"286,022.50",18-11-2022
MKLB,812.00,847.00,812.00,345.00,847.00,826.00,"286,022.50",19-11-2022
MKLB,812.00,847.00,812.00,345.00,847.00,826.00,"286,022.50",20-11-2022
MKLB,812.00,847.00,812.00,345.00,847.00,826.00,"286,022.50",21-11-2022
MKLB,830.10,830.10,810.00,117.00,821.00,847.00,"96,088.00",22-11-2022
MKLB,806.00,835.00,805.00,126.00,835.00,821.00,"102,336.00",23-11-2022
MKLB,835.00,835.00,821.00,265.00,835.00,835.00,"219,280.00",24-11-2022
MKLB,835.00,835.00,821.00,265.00,835.00,835.00,"219,280.00",25-11-2022
MKLB,835.00,835.00,821.00,265.00,835.00,835.00,"219,280.00",26-11-2022
MKLB,835.10,848.00,825.00,184.00,825.10,835.00,"153,146.00",27-11-2022
MKLB,830.00,852.00,830.00,511.00,835.00,825.10,"429,385.00",28-11-2022
MKLB,818.30,826.10,815.00,287.00,826.00,835.00,"235,432.50",29-11-2022
MKLB,812.00,820.00,812.00,231.00,820.00,826.00,"188,181.00",30-11-2022
MKLB,807.50,860.00,807.50,407.00,856.00,820.00,"345,060.00",01-12-2022
MKLB,807.50,860.00,807.50,407.00,856.00,820.00,"345,060.00",02-12-2022
