Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
MKHC,265.5,292.0,265.5,680.0,292.0,265.5,"195,156.40",22-03-2023
MKHC,297.8,321.2,297.8,"6,317.00",321.2,292.0,"2,028,370.00",23-03-2023
MKHC,297.8,321.2,297.8,"6,317.00",321.2,292.0,"2,028,370.00",24-03-2023
MKHC,297.8,321.2,297.8,"6,317.00",321.2,292.0,"2,028,370.00",25-03-2023
MKHC,327.6,353.3,327.6,"8,740.00",353.3,321.2,"3,086,311.00",26-03-2023
MKHC,360.3,367.5,327.3,"97,727.00",340.0,353.3,"32,904,101.90",27-03-2023
MKHC,340.0,347.0,331.1,"34,239.00",342.0,340.0,"11,599,111.00",28-03-2023
MKHC,347.0,347.0,330.3,"24,389.00",337.0,342.0,"8,118,576.20",29-03-2023
MKHC,343.7,343.7,324.0,"31,298.00",332.0,337.0,"10,269,025.80",30-03-2023
MKHC,343.7,343.7,324.0,"31,298.00",332.0,337.0,"10,269,025.80",31-03-2023
MKHC,343.7,343.7,324.0,"31,298.00",332.0,337.0,"10,269,025.80",01-04-2023
MKHC,336.0,336.0,307.8,"35,279.00",312.0,332.0,"11,198,850.00",02-04-2023
MKHC,307.0,307.1,293.1,"34,267.00",297.0,312.0,"10,202,746.70",03-04-2023
MKHC,293.0,300.0,289.2,"16,077.00",298.9,297.0,"4,770,557.50",04-04-2023
MKHC,293.0,305.1,290.0,"8,585.00",298.0,298.9,"2,557,499.00",05-04-2023
MKHC,298.0,300.0,292.2,"10,773.00",293.9,298.0,"3,176,748.60",06-04-2023
MKHC,298.0,300.0,292.2,"10,773.00",293.9,298.0,"3,176,748.60",07-04-2023
MKHC,298.0,300.0,292.2,"10,773.00",293.9,298.0,"3,176,748.60",08-04-2023
MKHC,289.0,290.0,275.6,"20,584.00",275.6,293.9,"5,779,699.90",09-04-2023
MKHC,271.6,282.6,271.2,"11,394.00",279.0,275.6,"3,149,455.50",10-04-2023
MKHC,275.0,304.0,274.6,"10,110.00",280.5,279.0,"2,835,702.50",11-04-2023
MKHC,281.1,308.5,281.1,"21,164.00",305.0,280.5,"6,341,022.70",12-04-2023
MKHC,311.1,316.0,292.0,"20,822.00",292.2,305.0,"6,236,260.20",13-04-2023
MKHC,311.1,316.0,292.0,"20,822.00",292.2,305.0,"6,236,260.20",14-04-2023
MKHC,311.1,316.0,292.0,"20,822.00",292.2,305.0,"6,236,260.20",15-04-2023
MKHC,290.0,302.9,287.2,"14,280.00",297.9,292.2,"4,186,000.50",16-04-2023
MKHC,292.0,296.0,285.6,"9,551.00",288.9,297.9,"2,773,049.10",17-04-2023
MKHC,294.6,294.6,278.2,"8,861.00",291.0,288.9,"2,545,623.00",18-04-2023
MKHC,285.3,295.0,285.0,"8,620.00",295.0,291.0,"2,493,899.00",19-04-2023
MKHC,290.1,295.0,284.4,"6,531.00",284.5,295.0,"1,874,806.50",20-04-2023
MKHC,290.1,295.0,284.4,"6,531.00",284.5,295.0,"1,874,806.50",21-04-2023
MKHC,290.1,295.0,284.4,"6,531.00",284.5,295.0,"1,874,806.50",22-04-2023
MKHC,284.0,284.0,274.4,"6,952.00",275.0,284.5,"1,925,290.80",23-04-2023
MKHC,270.0,281.5,270.0,"5,315.00",275.3,275.0,"1,460,030.70",24-04-2023
MKHC,270.1,280.5,270.0,"10,429.00",279.0,275.3,"2,842,676.00",25-04-2023
MKHC,275.0,281.0,272.0,"7,107.00",272.5,279.0,"1,956,300.00",26-04-2023
MKHC,268.1,274.0,268.1,"5,596.00",273.5,272.5,"1,514,193.30",27-04-2023
MKHC,268.1,274.0,268.1,"5,596.00",273.5,272.5,"1,514,193.30",28-04-2023
MKHC,268.1,274.0,268.1,"5,596.00",273.5,272.5,"1,514,193.30",29-04-2023
MKHC,268.4,273.0,261.2,"9,439.00",261.3,273.5,"2,504,664.10",30-04-2023
MKHC,268.4,273.0,261.2,"9,439.00",261.3,273.5,"2,504,664.10",01-05-2023
MKHC,261.0,263.0,251.9,"6,600.00",255.0,261.3,"1,688,192.00",02-05-2023
MKHC,250.3,260.0,250.3,"4,928.00",260.0,255.0,"1,255,235.50",03-05-2023
MKHC,260.0,268.0,251.2,"8,253.00",268.0,260.0,"2,121,458.30",04-05-2023
MKHC,260.0,268.0,251.2,"8,253.00",268.0,260.0,"2,121,458.30",05-05-2023
MKHC,260.0,268.0,251.2,"8,253.00",268.0,260.0,"2,121,458.30",06-05-2023
MKHC,263.0,263.0,251.3,"4,850.00",256.0,268.0,"1,230,959.50",07-05-2023
MKHC,253.0,253.0,237.2,"9,444.00",245.0,256.0,"2,315,318.70",08-05-2023
MKHC,245.0,255.0,237.2,"4,036.00",249.0,245.0,"987,735.10",09-05-2023
MKHC,244.3,245.0,240.1,"2,265.00",243.0,249.0,"550,007.50",10-05-2023
MKHC,238.3,246.0,234.2,"3,890.00",243.7,243.0,"923,432.00",11-05-2023
MKHC,238.3,246.0,234.2,"3,890.00",243.7,243.0,"923,432.00",12-05-2023
MKHC,238.3,246.0,234.2,"3,890.00",243.7,243.0,"923,432.00",13-05-2023
MKHC,239.0,243.5,225.0,"8,232.00",233.0,243.7,"1,910,253.20",14-05-2023
MKHC,228.4,237.5,220.1,"5,092.00",230.0,233.0,"1,164,336.90",15-05-2023
MKHC,231.0,248.1,226.0,"14,843.00",243.1,230.0,"3,408,540.50",16-05-2023
MKHC,238.3,245.0,229.1,"4,381.00",244.9,243.1,"1,050,529.20",17-05-2023
MKHC,240.1,259.4,236.0,"10,888.00",257.0,244.9,"2,728,045.20",18-05-2023
MKHC,240.1,259.4,236.0,"10,888.00",257.0,244.9,"2,728,045.20",19-05-2023
MKHC,240.1,259.4,236.0,"10,888.00",257.0,244.9,"2,728,045.20",20-05-2023
MKHC,254.1,257.0,246.0,"12,133.00",248.0,257.0,"3,050,156.00",21-05-2023
MKHC,244.0,266.9,244.0,"10,207.00",259.0,248.0,"2,582,301.50",22-05-2023
MKHC,254.1,270.0,254.1,"11,880.00",266.1,259.0,"3,154,336.50",23-05-2023
MKHC,261.0,265.9,256.0,"9,351.00",261.2,266.1,"2,442,715.10",24-05-2023
MKHC,261.0,265.9,256.0,"9,351.00",261.2,266.1,"2,442,715.10",25-05-2023
MKHC,261.0,265.9,256.0,"9,351.00",261.2,266.1,"2,442,715.10",26-05-2023
MKHC,261.0,265.9,256.0,"9,351.00",261.2,266.1,"2,442,715.10",27-05-2023
MKHC,256.0,266.2,247.1,"10,840.00",253.9,261.2,"2,789,039.00",28-05-2023
MKHC,256.0,266.2,247.1,"10,840.00",253.9,261.2,"2,789,039.00",29-05-2023
MKHC,248.9,250.5,237.0,"9,429.00",244.0,253.9,"2,280,135.10",30-05-2023
MKHC,239.2,247.8,231.5,"6,755.00",235.0,244.0,"1,599,894.00",31-05-2023
MKHC,237.0,239.5,226.4,"10,112.00",236.0,235.0,"2,358,037.20",01-06-2023
MKHC,237.0,239.5,226.4,"10,112.00",236.0,235.0,"2,358,037.20",02-06-2023
MKHC,237.0,239.5,226.4,"10,112.00",236.0,235.0,"2,358,037.20",03-06-2023
MKHC,240.70,248.70,240.70,"13,843.00",248.40,236.00,"3,385,290.00",04-06-2023
