Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
GBIMESY2,9.2,9.4,9.2,"1,100.00",9.2,9.22,"10,145.00",06-07-2026
GBIMESY2,9.2,9.2,9.0,"2,525.00",9.04,9.2,"23,073.00",07-07-2026
GBIMESY2,9.05,9.3,9.05,"2,800.00",9.2,9.04,"25,705.00",08-07-2026
GBIMESY2,9.0,9.27,9.0,"1,600.00",9.04,9.2,"14,487.00",09-07-2026
GBIMESY2,9.31,9.54,9.09,"1,600.00",9.09,9.04,"14,693.00",10-07-2026
GBIMESY2,9.09,9.6,8.95,"2,005,175.00",9.5,9.09,"18,498,456.25",13-07-2026
GBIMESY2,9.4,9.5,9.14,300.00,9.5,9.5,"2,804.00",14-07-2026
GBIMESY2,9.97,9.97,9.5,"9,700.00",9.5,9.5,"92,217.00",15-07-2026
GBIMESY2,9.97,10.78,9.72,"16,750.00",9.98,9.5,"164,541.50",16-07-2026
GBIMESY2,9.69,9.69,9.69,910.00,9.69,9.98,"8,817.90",17-07-2026
