Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
CBLD88,"1,285.00","1,285.00","1,285.00",5.0,"1,305.00","1,285.00","6,525.00",06-07-2026
CBLD88,"1,305.00","1,305.00","1,305.00",5.0,"1,314.00","1,305.00","6,570.00",16-07-2026
CBLD88,"1,274.60","1,274.60","1,235.00",88.0,"1,221.00","1,314.00","109,501.00",29-07-2026
CBLD88,"1,201.00","1,205.00","1,200.00",54.0,"1,200.00","1,221.00","64,930.00",30-07-2026
CBLD88,"1,180.00","1,187.00","1,180.00",50.0,"1,187.00","1,200.00","59,175.00",31-07-2026
CBLD88,"1,187.00","1,187.00","1,161.80",33.0,"1,196.60","1,187.00","38,412.00",03-08-2026
CBLD88,"1,196.60","1,196.60","1,196.60",3.0,"1,172.10","1,196.60","3,448.10",04-08-2026
CBLD88,"1,172.10","1,182.80","1,148.40",54.0,"1,170.00","1,172.10","62,795.00",05-08-2026
CBLD88,"1,170.00","1,170.00","1,170.00",6.0,"1,150.00","1,170.00","6,830.00",06-08-2026
CBLD88,"1,162.00","1,162.00","1,162.00","8,040.00","1,230.00","1,150.00","9,342,684.00",07-08-2026
CBLD88,"1,230.00","1,230.00","1,195.00",26.00,"1,250.00","1,230.00","31,125.00",10-08-2026
CBLD88,"1,238.00","1,238.00","1,238.00","8,075.00","1,238.00","1,250.00","9,996,850.00",11-08-2026
CBLD88,"1,205.00","1,205.00","1,201.00",25.00,"1,201.00","1,238.00","30,069.00",21-08-2026
