Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
JBLB,"2,775.00","2,775.00","2,720.00","5,581.00","2,755.00","2,741.00","15,312,847.70",10-08-2022
JBLB,"2,775.00","2,775.00","2,720.00","5,581.00","2,755.00","2,741.00","15,312,847.70",10-08-2022
JBLB,"2,750.00","2,800.00","2,740.00","6,032.00","2,740.00","2,755.00","16,651,519.90",11-08-2022
JBLB,"2,750.00","2,800.00","2,740.00","6,032.00","2,740.00","2,755.00","16,651,519.90",12-08-2022
JBLB,"2,750.00","2,800.00","2,740.00","6,032.00","2,740.00","2,755.00","16,651,519.90",13-08-2022
JBLB,"2,710.00","2,760.00","2,710.00","6,738.00","2,724.00","2,740.00","18,492,111.70",14-08-2022
JBLB,"2,725.00","2,775.00","2,700.00","6,436.00","2,774.80","2,724.00","17,743,983.30",15-08-2022
JBLB,"2,800.00","2,819.00","2,730.00","6,958.00","2,735.00","2,774.80","19,269,369.00",16-08-2022
JBLB,"2,735.00","2,750.00","2,720.00","4,424.00","2,725.00","2,735.00","12,099,957.70",17-08-2022
JBLB,"2,775.00","2,780.00","2,725.00","4,271.00","2,761.00","2,725.00","11,780,870.90",18-08-2022
JBLB,"2,775.00","2,780.00","2,725.00","4,271.00","2,761.00","2,725.00","11,780,870.90",19-08-2022
JBLB,"2,775.00","2,780.00","2,725.00","4,271.00","2,761.00","2,725.00","11,780,870.90",20-08-2022
JBLB,"2,814.90","2,814.90","2,750.00","3,716.00","2,755.00","2,761.00","10,278,854.40",21-08-2022
JBLB,"2,755.00","2,770.00","2,705.00","3,306.00","2,736.10","2,755.00","9,056,187.40",22-08-2022
JBLB,"2,720.00","2,789.00","2,720.00","3,010.00","2,734.00","2,736.10","8,224,731.40",23-08-2022
JBLB,"2,725.00","2,775.00","2,715.00","5,311.00","2,725.00","2,734.00","14,462,822.50",24-08-2022
JBLB,"2,779.50","2,779.50","2,700.00","5,367.00","2,710.00","2,725.00","14,604,297.20",25-08-2022
JBLB,"2,710.00","2,711.00","2,690.00","2,854.00","2,696.00","2,710.00","7,705,833.60",26-08-2022
JBLB,"2,710.00","2,711.00","2,690.00","2,854.00","2,696.00","2,710.00","7,705,833.60",27-08-2022
JBLB,"2,740.00","2,740.00","2,644.00","6,178.00","2,647.00","2,696.00","16,485,168.30",28-08-2022
JBLB,"2,699.00","2,699.00","2,630.00","3,167.00","2,653.00","2,647.00","8,392,800.70",29-08-2022
JBLB,"2,660.00","2,688.00","2,644.00","3,231.00","2,655.00","2,653.00","8,594,210.90",30-08-2022
JBLB,"2,660.00","2,660.00","2,622.00","2,611.00","2,630.00","2,655.00","6,878,450.40",31-08-2022
JBLB,"2,610.00","2,649.50","2,600.00","3,258.00","2,617.00","2,630.00","8,533,672.30",01-09-2022
JBLB,"2,595.00","2,645.00","2,595.00","1,602.00","2,620.00","2,617.00","4,212,680.90",02-09-2022
JBLB,"2,595.00","2,645.00","2,595.00","1,602.00","2,620.00","2,617.00","4,212,680.90",03-09-2022
JBLB,"2,650.00","2,659.00","2,620.00","3,096.00","2,632.00","2,620.00","8,179,138.90",04-09-2022
JBLB,"2,650.00","2,650.00","2,633.00","2,278.00","2,638.00","2,632.00","6,022,540.90",05-09-2022
