Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
RBCLPO,"11,290.00","11,423.00","11,178.40",232.0,"11,423.00","11,290.00","2,606,304.80",10-08-2022
RBCLPO,"11,290.00","11,423.00","11,178.40",232.0,"11,423.00","11,290.00","2,606,304.80",10-08-2022
RBCLPO,"11,201.00","11,470.00","11,201.00",340.0,"11,300.00","11,423.00","3,833,708.00",11-08-2022
RBCLPO,"11,201.00","11,470.00","11,201.00",340.0,"11,300.00","11,423.00","3,833,708.00",12-08-2022
RBCLPO,"11,201.00","11,470.00","11,201.00",340.0,"11,300.00","11,423.00","3,833,708.00",13-08-2022
RBCLPO,"11,525.00","11,550.00","10,856.50","1,560.00","11,550.00","11,300.00","17,231,731.00",14-08-2022
RBCLPO,"11,780.90","11,790.00","11,300.00",337.00,"11,600.00","11,550.00","3,912,153.00",15-08-2022
RBCLPO,"11,409.00","11,832.00","11,409.00",579.00,"11,421.50","11,600.00","6,647,510.50",16-08-2022
RBCLPO,"11,305.00","11,639.00","11,305.00",40.00,"11,407.00","11,421.50","458,821.00",17-08-2022
RBCLPO,"11,213.00","11,625.00","11,213.00",50.00,"11,625.00","11,407.00","571,496.00",18-08-2022
RBCLPO,"11,213.00","11,625.00","11,213.00",50.00,"11,625.00","11,407.00","571,496.00",19-08-2022
RBCLPO,"11,213.00","11,625.00","11,213.00",50.00,"11,625.00","11,407.00","571,496.00",20-08-2022
RBCLPO,"11,430.00","11,595.00","11,136.00",940.00,"11,489.00","11,625.00","10,566,156.00",21-08-2022
RBCLPO,"11,260.00","11,300.00","11,041.00",80.00,"11,205.00","11,489.00","898,889.00",22-08-2022
RBCLPO,"10,985.00","11,215.20","10,985.00",60.00,"11,205.00","11,205.00","670,351.00",23-08-2022
RBCLPO,"11,429.00","11,485.00","11,201.00",300.00,"11,250.00","11,205.00","3,388,310.00",24-08-2022
RBCLPO,"11,475.00","11,695.00","11,400.00","1,740.00","11,420.00","11,250.00","19,941,849.00",25-08-2022
