Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
MNBBL,444.5,449.0,439.1,"30,079.00",444.0,444.5,"13,355,674.60",10-08-2022
MNBBL,444.5,449.0,439.1,"30,079.00",444.0,444.5,"13,355,674.60",10-08-2022
MNBBL,441.0,450.0,440.0,"20,354.00",440.0,444.0,"9,049,282.60",11-08-2022
MNBBL,441.0,450.0,440.0,"20,354.00",440.0,444.0,"9,049,282.60",12-08-2022
MNBBL,441.0,450.0,440.0,"20,354.00",440.0,444.0,"9,049,282.60",13-08-2022
MNBBL,445.0,445.5,437.0,"16,722.00",437.0,440.0,"7,367,985.50",14-08-2022
MNBBL,440.0,455.4,438.0,"40,035.00",453.0,437.0,"17,893,633.30",15-08-2022
MNBBL,461.9,463.0,442.0,"29,224.00",445.0,453.0,"13,183,506.90",16-08-2022
MNBBL,452.0,452.0,438.0,"25,706.00",443.0,445.0,"11,390,787.30",17-08-2022
MNBBL,449.8,460.0,443.1,"28,464.00",455.0,443.0,"12,850,745.10",18-08-2022
MNBBL,449.8,460.0,443.1,"28,464.00",455.0,443.0,"12,850,745.10",19-08-2022
MNBBL,449.8,460.0,443.1,"28,464.00",455.0,443.0,"12,850,745.10",20-08-2022
MNBBL,461.0,468.0,454.9,"32,519.00",455.0,455.0,"14,940,552.10",21-08-2022
MNBBL,453.0,459.0,445.1,"13,980.00",455.0,455.0,"6,314,024.90",22-08-2022
MNBBL,450.0,457.0,447.0,"13,346.00",450.0,455.0,"6,002,599.80",23-08-2022
MNBBL,457.9,459.9,450.0,"15,582.00",451.0,450.0,"7,042,818.00",24-08-2022
MNBBL,442.0,459.0,442.0,"15,771.00",447.0,451.0,"7,103,692.60",25-08-2022
MNBBL,445.0,447.0,438.1,"15,318.00",442.0,447.0,"6,760,012.20",26-08-2022
MNBBL,445.0,447.0,438.1,"15,318.00",442.0,447.0,"6,760,012.20",27-08-2022
MNBBL,440.0,444.0,435.1,"29,098.00",435.1,442.0,"12,751,060.20",28-08-2022
MNBBL,435.0,438.0,430.0,"16,439.00",436.5,435.1,"7,158,143.20",29-08-2022
MNBBL,438.0,441.9,437.5,"12,827.00",437.5,436.5,"5,633,489.00",30-08-2022
MNBBL,435.0,439.0,431.2,"14,755.00",432.5,437.5,"6,392,058.60",31-08-2022
MNBBL,424.0,438.6,424.0,"13,752.00",433.0,432.5,"5,906,289.60",01-09-2022
MNBBL,440.0,440.0,431.0,"3,905.00",433.0,433.0,"1,692,886.90",02-09-2022
MNBBL,440.0,440.0,431.0,"3,905.00",433.0,433.0,"1,692,886.90",03-09-2022
MNBBL,436.0,440.9,430.0,"9,326.00",437.0,433.0,"4,056,003.70",04-09-2022
MNBBL,437.0,440.0,432.0,"9,694.00",435.0,437.0,"4,222,871.30",05-09-2022
MNBBL,430.0,435.0,428.1,"19,169.00",429.0,435.0,"8,247,868.10",06-09-2022
MNBBL,427.0,430.0,424.0,"10,933.00",424.5,429.0,"4,653,557.30",07-09-2022
MNBBL,422.0,430.0,422.0,"7,407.00",429.0,424.5,"3,154,311.40",08-09-2022
MNBBL,422.0,430.0,422.0,"7,407.00",429.0,424.5,"3,154,311.40",09-09-2022
MNBBL,422.0,430.0,422.0,"7,407.00",429.0,424.5,"3,154,311.40",10-09-2022
MNBBL,429.00,432.00,420.00,"22,076.00",422.00,429.00,"9,351,445.20",11-09-2022
