Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SRLI,399.7,414.0,399.7,"43,573.00",404.8,391.88,"17,758,873.50",21-05-2023
SRLI,397.0,412.5,396.9,"20,116.00",412.0,404.8,"8,149,873.20",22-05-2023
SRLI,404.0,431.9,404.0,"24,766.00",430.0,412.0,"10,516,708.20",23-05-2023
SRLI,430.0,438.6,422.0,"26,171.00",432.0,430.0,"11,251,072.00",24-05-2023
SRLI,430.0,438.6,422.0,"26,171.00",432.0,430.0,"11,251,072.00",25-05-2023
SRLI,430.0,438.6,422.0,"26,171.00",432.0,430.0,"11,251,072.00",26-05-2023
SRLI,430.0,438.6,422.0,"26,171.00",432.0,430.0,"11,251,072.00",27-05-2023
SRLI,432.0,440.0,415.0,"30,792.00",415.0,432.0,"13,100,101.60",28-05-2023
SRLI,432.0,440.0,415.0,"30,792.00",415.0,432.0,"13,100,101.60",29-05-2023
SRLI,415.0,415.9,402.0,"26,241.00",402.1,415.0,"10,673,452.20",30-05-2023
SRLI,400.0,410.0,389.0,"15,572.00",390.1,402.1,"6,208,803.90",31-05-2023
SRLI,390.1,404.9,390.0,"17,526.00",397.7,390.1,"6,962,964.90",01-06-2023
SRLI,390.1,404.9,390.0,"17,526.00",397.7,390.1,"6,962,964.90",02-06-2023
SRLI,390.1,404.9,390.0,"17,526.00",397.7,390.1,"6,962,964.90",03-06-2023
SRLI,395.0,421.9,395.0,"20,073.00",414.0,397.7,"8,316,558.10",04-06-2023
SRLI,410.0,423.4,407.8,"34,941.00",423.4,414.0,"14,457,402.40",05-06-2023
SRLI,415.0,438.0,410.1,"37,275.00",433.0,423.4,"15,936,414.20",06-06-2023
SRLI,433.00,445.00,427.00,"40,748.00",435.00,433.00,"17,845,098.10",07-06-2023
