Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
MBLEF,9.98,10.1,9.98,"3,400.00",10.0,10.0,"33,994.00",06-07-2026
MBLEF,9.97,10.0,9.85,"2,650.00",9.95,10.0,"26,262.50",07-07-2026
MBLEF,9.95,10.15,9.9,800.00,10.0,9.95,"7,976.00",08-07-2026
MBLEF,10.0,10.1,9.83,"4,450.00",10.1,10.0,"44,692.00",09-07-2026
MBLEF,9.83,10.15,9.83,"1,000.00",10.0,10.1,"9,965.00",10-07-2026
MBLEF,10.0,10.17,9.91,"510,600.00",9.91,10.0,"5,165,999.00",13-07-2026
MBLEF,9.91,10.18,9.83,"16,500.00",10.07,9.91,"165,353.00",14-07-2026
MBLEF,9.88,10.14,9.88,"6,200.00",10.14,10.07,"62,653.00",15-07-2026
MBLEF,9.88,10.1,9.88,"1,600.00",10.0,10.14,"16,010.00",16-07-2026
MBLEF,9.84,10.13,9.84,"7,970.00",10.05,10.0,"79,634.80",17-07-2026
MBLEF,10.0,10.05,10.0,"2,000.00",10.05,10.05,"20,026.00",20-07-2026
MBLEF,10.0,10.2,10.0,800.00,10.0,10.05,"8,021.00",21-07-2026
MBLEF,10.0,10.28,10.0,900.00,10.2,10.0,"9,077.00",22-07-2026
MBLEF,10.01,10.2,10.01,"2,000.00",10.2,10.2,"20,071.00",23-07-2026
MBLEF,9.9,10.2,9.9,"2,700.00",10.1,10.2,"27,147.00",27-07-2026
MBLEF,9.82,10.15,9.82,"2,800.00",10.0,10.1,"28,003.00",28-07-2026
MBLEF,10.01,10.27,9.92,"4,900.00",10.2,10.0,"48,920.00",29-07-2026
MBLEF,10.0,10.2,10.0,"6,350.00",10.1,10.2,"63,652.50",30-07-2026
MBLEF,9.9,10.1,9.9,600.00,10.1,10.1,"6,040.00",31-07-2026
MBLEF,9.82,10.28,9.8,"1,700.00",10.01,10.1,"16,870.00",03-08-2026
MBLEF,10.26,10.3,10.0,"155,270.00",10.25,10.01,"1,594,755.20",04-08-2026
MBLEF,10.0,10.25,9.95,"1,300.00",10.25,10.25,"13,115.00",05-08-2026
MBLEF,10.0,10.3,10.0,"7,210.00",10.28,10.25,"72,999.00",06-08-2026
MBLEF,10.28,10.37,10.21,"758,456.00",10.28,10.28,"7,792,735.49",07-08-2026
MBLEF,10.29,10.34,10.27,"581,500.00",10.28,10.28,"5,982,257.00",10-08-2026
MBLEF,10.21,10.34,10.21,"30,200.00",10.32,10.28,"311,055.00",11-08-2026
MBLEF,10.13,10.34,10.13,"137,100.00",10.34,10.32,"1,412,626.00",12-08-2026
MBLEF,10.23,10.51,10.23,"146,895.00",10.51,10.34,"1,528,675.45",13-08-2026
MBLEF,10.4,10.4,10.36,"2,000.00",10.38,10.51,"20,748.00",14-08-2026
MBLEF,10.8,10.89,10.41,"46,300.00",10.45,10.38,"491,921.00",17-08-2026
MBLEF,10.14,10.14,9.73,"56,700.00",9.92,10.45,"564,706.00",18-08-2026
MBLEF,9.7,9.7,9.7,"2,750.00",9.7,9.92,"26,675.00",19-08-2026
MBLEF,9.51,9.70,9.51,500.00,9.57,9.70,"4,818.00",20-08-2026
