Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SICL,850.0,850.0,820.0,"13,854.00",828.0,835.2,"11,449,574.90",10-08-2022
SICL,850.0,850.0,820.0,"13,854.00",828.0,835.2,"11,449,574.90",10-08-2022
SICL,844.4,844.4,817.0,"6,403.00",818.0,828.0,"5,292,290.10",11-08-2022
SICL,844.4,844.4,817.0,"6,403.00",818.0,828.0,"5,292,290.10",12-08-2022
SICL,844.4,844.4,817.0,"6,403.00",818.0,828.0,"5,292,290.10",13-08-2022
SICL,810.0,825.0,800.0,"9,131.00",800.1,818.0,"7,394,474.30",14-08-2022
SICL,816.1,836.0,812.0,"18,435.00",833.1,800.1,"15,264,425.40",15-08-2022
SICL,849.0,854.0,829.1,"12,148.00",830.0,833.1,"10,214,512.20",16-08-2022
SICL,830.0,841.0,818.0,"1,915.00",828.0,830.0,"1,582,250.50",17-08-2022
SICL,835.0,835.0,820.0,"8,566.00",834.0,828.0,"7,100,404.70",18-08-2022
SICL,835.0,835.0,820.0,"8,566.00",834.0,828.0,"7,100,404.70",19-08-2022
SICL,835.0,835.0,820.0,"8,566.00",834.0,828.0,"7,100,404.70",20-08-2022
SICL,835.0,848.0,830.0,"4,250.00",832.0,834.0,"3,550,875.70",21-08-2022
SICL,834.0,834.0,820.0,"3,992.00",825.0,832.0,"3,291,524.50",22-08-2022
SICL,840.0,840.0,822.0,"2,940.00",825.0,825.0,"2,429,799.30",23-08-2022
SICL,826.0,830.0,816.0,"3,161.00",823.0,825.0,"2,602,766.30",24-08-2022
SICL,815.0,828.0,812.0,"4,228.00",815.0,823.0,"3,451,424.80",25-08-2022
SICL,815.0,817.0,809.2,"2,884.00",809.2,815.0,"2,340,037.10",26-08-2022
SICL,815.00,817.00,809.20,"2,884.00",809.20,815.00,"2,340,037.10",27-08-2022
