Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SWASTIK,"2,105.00","2,105.00","2,035.30",596.0,"2,062.00","2,060.00","1,233,853.90",06-07-2026
SWASTIK,"2,062.00","2,075.00","2,050.00",160.0,"2,066.10","2,062.00","329,136.00",07-07-2026
SWASTIK,"2,040.00","2,061.00","2,012.10",567.0,"2,057.90","2,066.10","1,160,242.90",08-07-2026
SWASTIK,"2,050.00","2,050.00","2,000.00",587.0,"2,030.00","2,057.90","1,181,083.80",09-07-2026
SWASTIK,"1,970.10","2,048.00","1,970.10",244.0,"2,034.00","2,030.00","489,895.00",10-07-2026
SWASTIK,"1,992.50","2,000.00","1,986.00",245.0,"1,986.00","2,034.00","488,310.10",13-07-2026
SWASTIK,"2,000.00","2,000.00","1,920.90",704.0,"1,980.00","1,986.00","1,381,574.00",14-07-2026
SWASTIK,"1,934.10","2,000.00","1,934.10",573.0,"1,997.00","1,980.00","1,139,435.00",15-07-2026
SWASTIK,"1,950.20","2,006.00","1,950.20",384.0,"1,960.00","1,997.00","754,820.00",16-07-2026
SWASTIK,"1,950.00","2,075.00","1,950.00",578.0,"2,075.00","1,960.00","1,185,753.70",17-07-2026
SWASTIK,"2,090.00","2,180.00","2,090.00",960.0,"2,180.00","2,075.00","2,061,795.80",20-07-2026
SWASTIK,"2,145.00","2,205.00","2,127.00",882.0,"2,142.00","2,180.00","1,909,882.00",21-07-2026
SWASTIK,"2,120.00","2,164.00","2,105.00",956.0,"2,105.00","2,142.00","2,038,708.50",22-07-2026
SWASTIK,"2,130.00","2,130.00","2,053.00",858.00,"2,098.00","2,105.00","1,780,486.00",23-07-2026
