Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
ALBSL,"1,224.00","1,224.00","1,176.00","3,444.00","1,210.00","1,224.00","4,092,365.80",10-08-2022
ALBSL,"1,224.00","1,224.00","1,176.00","3,444.00","1,210.00","1,224.00","4,092,365.80",10-08-2022
ALBSL,"1,224.00","1,224.00","1,176.00","3,444.00","1,210.00","1,224.00","4,092,365.80",10-08-2022
ALBSL,"1,188.00","1,221.00","1,171.10","2,638.00","1,183.00","1,210.00","3,143,987.90",11-08-2022
ALBSL,"1,188.00","1,221.00","1,171.10","2,638.00","1,183.00","1,210.00","3,143,987.90",12-08-2022
ALBSL,"1,188.00","1,221.00","1,171.10","2,638.00","1,183.00","1,210.00","3,143,987.90",13-08-2022
ALBSL,"1,167.10","1,199.50","1,136.80","3,691.00","1,136.80","1,183.00","4,292,923.40",14-08-2022
ALBSL,"1,159.50","1,190.00","1,145.00","1,605.00","1,190.00","1,136.80","1,874,171.60",15-08-2022
ALBSL,"1,197.00","1,213.80","1,150.00","1,761.00","1,170.00","1,190.00","2,065,747.00",16-08-2022
ALBSL,"1,180.00","1,193.00","1,165.00",263.00,"1,171.00","1,170.00","308,737.00",17-08-2022
ALBSL,"1,194.00","1,200.00","1,179.00",895.00,"1,197.90","1,171.00","1,060,155.00",18-08-2022
ALBSL,"1,194.00","1,200.00","1,179.00",895.00,"1,197.90","1,171.00","1,060,155.00",19-08-2022
ALBSL,"1,194.00","1,200.00","1,179.00",895.00,"1,197.90","1,171.00","1,060,155.00",20-08-2022
ALBSL,"1,221.00","1,221.00","1,187.00","1,010.00","1,220.00","1,197.90","1,222,105.50",21-08-2022
ALBSL,"1,241.00","1,241.00","1,194.00","1,136.00","1,235.00","1,220.00","1,374,917.20",22-08-2022
ALBSL,"1,244.90","1,244.90","1,194.00",670.00,"1,208.00","1,235.00","810,863.20",23-08-2022
ALBSL,"1,227.00","1,232.10","1,183.90",767.00,"1,213.00","1,208.00","919,686.90",24-08-2022
ALBSL,"1,215.00","1,218.90","1,172.00",619.00,"1,195.00","1,213.00","739,037.00",25-08-2022
ALBSL,"1,195.00","1,209.90","1,172.00",99.00,"1,186.00","1,195.00","118,195.00",26-08-2022
ALBSL,"1,195.00","1,209.90","1,172.00",99.00,"1,186.00","1,195.00","118,195.00",27-08-2022
ALBSL,"1,164.00","1,197.00","1,164.00",648.00,"1,166.00","1,186.00","758,580.00",28-08-2022
ALBSL,"1,166.00","1,189.00","1,145.00","1,284.00","1,189.00","1,166.00","1,482,183.00",29-08-2022
ALBSL,"1,200.00","1,234.00","1,170.00",473.00,"1,200.00","1,189.00","565,297.00",30-08-2022
ALBSL,"1,224.00","1,224.00","1,176.00",233.00,"1,177.00","1,200.00","276,540.50",31-08-2022
ALBSL,"1,173.00","1,173.00","1,130.00","3,988.00","1,163.90","1,177.00","4,578,188.30",01-09-2022
ALBSL,"1,141.00","1,180.00","1,122.10","2,609.00","1,155.00","1,163.90","2,961,923.00",02-09-2022
ALBSL,"1,141.00","1,180.00","1,122.10","2,609.00","1,155.00","1,163.90","2,961,923.00",03-09-2022
ALBSL,"1,151.00","1,175.00","1,134.00","1,836.00","1,175.00","1,155.00","2,097,666.40",04-09-2022
