Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SIC,887.4,957.0,887.4,"17,264.00",910.0,870.0,"16,088,385.60",26-01-2023
SIC,887.4,957.0,887.4,"17,264.00",910.0,870.0,"16,088,385.60",28-01-2023
SIC,928.2,930.0,870.0,"15,844.00",870.0,910.0,"14,023,380.60",29-01-2023
SIC,855.1,855.1,799.0,"8,467.00",814.0,870.0,"6,956,684.80",30-01-2023
SIC,800.0,825.0,770.2,"4,035.00",779.0,814.0,"3,171,522.10",31-01-2023
SIC,763.7,770.1,749.1,"9,161.00",750.0,779.0,"6,922,325.40",01-02-2023
SIC,755.0,760.0,736.2,"5,817.00",759.6,750.0,"4,344,964.80",02-02-2023
SIC,755.0,760.0,736.2,"5,817.00",759.6,750.0,"4,344,964.80",03-02-2023
SIC,755.0,760.0,736.2,"5,817.00",759.6,750.0,"4,344,964.80",04-02-2023
SIC,750.0,765.0,746.0,"4,019.00",752.3,759.6,"3,034,059.20",05-02-2023
SIC,759.0,764.0,752.4,"2,613.00",760.0,752.3,"1,989,070.30",06-02-2023
SIC,763.9,795.0,763.9,"5,673.00",794.9,760.0,"4,403,976.20",07-02-2023
SIC,810.0,812.0,790.0,"5,410.00",798.0,794.9,"4,311,629.00",08-02-2023
SIC,798.0,805.0,784.0,"9,228.00",799.8,798.0,"7,327,459.90",09-02-2023
SIC,798.0,805.0,784.0,"9,228.00",799.8,798.0,"7,327,459.90",10-02-2023
SIC,798.0,805.0,784.0,"9,228.00",799.8,798.0,"7,327,459.90",11-02-2023
SIC,705.0,725.0,686.0,"6,724.00",691.0,711.57,"4,742,602.80",12-02-2023
SIC,705.0,725.0,686.0,"6,724.00",691.0,711.57,"4,742,602.80",13-02-2023
SIC,691.0,705.9,688.0,"8,156.00",688.0,691.0,"5,693,150.60",14-02-2023
SIC,701.0,701.0,689.0,"2,201.00",689.0,688.0,"1,526,174.00",15-02-2023
SIC,688.1,699.0,684.0,"3,625.00",689.0,689.0,"2,493,385.40",16-02-2023
SIC,688.1,699.0,684.0,"3,625.00",689.0,689.0,"2,493,385.40",17-02-2023
SIC,688.1,699.0,684.0,"3,625.00",689.0,689.0,"2,493,385.40",18-02-2023
SIC,688.10,699.00,684.00,"3,625.00",689.00,689.00,"2,493,385.40",19-02-2023
