Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SOPL,875.0,885.0,850.0,"46,845.00",852.0,881.0,"40,519,247.20",06-07-2026
SOPL,835.1,870.0,835.1,"38,411.00",855.0,852.0,"32,626,076.70",07-07-2026
SOPL,855.0,855.0,810.0,"48,156.00",827.0,855.0,"39,901,566.30",08-07-2026
SOPL,827.0,850.0,792.5,"39,702.00",792.6,827.0,"32,141,505.20",09-07-2026
SOPL,792.6,815.0,781.2,"33,604.00",790.0,792.6,"26,728,782.50",10-07-2026
SOPL,790.0,809.0,750.0,"49,560.00",751.0,790.0,"37,960,086.30",13-07-2026
SOPL,750.0,789.0,745.0,"45,784.00",765.0,751.0,"34,939,493.60",14-07-2026
SOPL,765.0,790.0,765.0,"36,729.00",771.0,765.0,"28,608,969.80",15-07-2026
SOPL,732.5,799.0,732.5,"51,223.00",780.0,771.0,"40,143,306.20",16-07-2026
SOPL,780.0,835.0,780.0,"56,949.00",823.1,780.0,"46,541,995.40",17-07-2026
SOPL,823.1,850.0,820.0,"49,405.00",848.0,823.1,"41,423,909.30",20-07-2026
SOPL,848.0,879.6,833.2,"70,713.00",845.0,848.0,"60,354,952.50",21-07-2026
SOPL,845.0,861.1,835.0,"41,452.00",842.1,845.0,"35,015,549.50",22-07-2026
SOPL,833.0,915.0,833.0,"82,670.00",905.0,842.1,"72,325,100.30",23-07-2026
SOPL,893.0,913.0,845.2,"79,971.00",858.9,893.0,"70,530,987.90",27-07-2026
SOPL,901.0,901.0,836.1,"45,383.00",848.0,858.9,"38,840,679.90",28-07-2026
SOPL,848.0,869.0,834.0,"28,683.00",836.0,848.0,"24,334,618.70",29-07-2026
SOPL,794.2,852.0,794.2,"59,270.00",825.0,836.0,"48,843,630.20",30-07-2026
SOPL,783.8,840.0,783.8,"31,094.00",827.0,825.0,"25,700,306.30",31-07-2026
SOPL,825.0,850.9,820.0,"28,239.00",823.1,827.0,"23,537,416.90",03-08-2026
SOPL,820.0,830.0,806.3,"32,485.00",808.0,823.1,"26,463,650.70",04-08-2026
SOPL,810.0,825.0,807.2,"23,188.00",815.0,808.0,"18,879,908.50",05-08-2026
SOPL,807.2,826.0,800.0,"36,365.00",800.0,815.0,"29,516,697.60",06-08-2026
SOPL,760.0,810.0,760.0,"33,277.00",792.0,800.0,"26,511,193.80",07-08-2026
SOPL,792.0,804.0,790.0,"18,146.00",796.0,792.0,"14,462,217.60",10-08-2026
SOPL,792.00,824.00,790.20,"34,655.00",814.00,796.00,"28,173,412.00",11-08-2026
