Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
MMKJL,471.5,472.0,465.0,"1,625.00",465.0,470.3,"764,143.00",06-07-2026
MMKJL,465.0,506.0,462.0,"1,809.00",466.0,465.0,"852,287.00",07-07-2026
MMKJL,466.0,478.0,462.0,"2,537.00",466.5,466.0,"1,194,107.80",08-07-2026
MMKJL,470.0,470.0,454.0,"1,752.00",459.0,466.5,"801,391.50",09-07-2026
MMKJL,454.0,462.0,454.0,"1,633.00",455.0,459.0,"743,960.00",10-07-2026
MMKJL,447.0,458.0,433.7,"1,754.00",449.0,455.0,"780,193.10",13-07-2026
MMKJL,447.7,447.7,436.0,"2,861.00",438.0,449.0,"1,264,178.50",14-07-2026
MMKJL,438.0,450.0,433.0,"1,657.00",438.0,438.0,"727,359.60",15-07-2026
MMKJL,440.0,440.0,429.1,"2,110.00",430.0,438.0,"914,855.00",16-07-2026
MMKJL,442.9,455.5,436.1,"1,413.00",449.0,430.0,"627,616.50",17-07-2026
MMKJL,440.0,461.0,440.0,910.00,455.0,449.0,"413,847.00",20-07-2026
MMKJL,456.0,469.5,456.0,"4,295.00",465.0,455.0,"1,991,243.00",21-07-2026
MMKJL,442.0,470.0,442.0,"2,554.00",463.4,465.0,"1,186,973.50",22-07-2026
MMKJL,456.0,475.0,449.2,"6,192.00",475.0,463.4,"2,864,474.00",23-07-2026
MMKJL,485.00,517.00,485.00,"22,732.00",495.00,496.00,"11,439,027.20",27-07-2026
