Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
MMKJL,471.5,472.0,465.0,"1,625.00",465.0,470.3,"764,143.00",06-07-2026
MMKJL,465.0,506.0,462.0,"1,809.00",466.0,465.0,"852,287.00",07-07-2026
MMKJL,466.0,478.0,462.0,"2,537.00",466.5,466.0,"1,194,107.80",08-07-2026
MMKJL,470.0,470.0,454.0,"1,752.00",459.0,466.5,"801,391.50",09-07-2026
MMKJL,454.0,462.0,454.0,"1,633.00",455.0,459.0,"743,960.00",10-07-2026
MMKJL,447.0,458.0,433.7,"1,754.00",449.0,455.0,"780,193.10",13-07-2026
MMKJL,447.7,447.7,436.0,"2,861.00",438.0,449.0,"1,264,178.50",14-07-2026
MMKJL,438.0,450.0,433.0,"1,657.00",438.0,438.0,"727,359.60",15-07-2026
MMKJL,440.0,440.0,429.1,"2,110.00",430.0,438.0,"914,855.00",16-07-2026
MMKJL,442.9,455.5,436.1,"1,413.00",449.0,430.0,"627,616.50",17-07-2026
MMKJL,440.0,461.0,440.0,910.00,455.0,449.0,"413,847.00",20-07-2026
MMKJL,456.0,469.5,456.0,"4,295.00",465.0,455.0,"1,991,243.00",21-07-2026
MMKJL,442.0,470.0,442.0,"2,554.00",463.4,465.0,"1,186,973.50",22-07-2026
MMKJL,456.0,475.0,449.2,"6,192.00",475.0,463.4,"2,864,474.00",23-07-2026
MMKJL,485.0,517.0,485.0,"22,732.00",495.0,496.0,"11,439,027.20",27-07-2026
MMKJL,505.0,509.0,491.0,"3,759.00",492.3,495.0,"1,864,081.80",28-07-2026
MMKJL,492.0,492.0,480.0,"2,585.00",482.0,492.3,"1,248,169.00",29-07-2026
MMKJL,493.0,493.0,474.0,"4,894.00",485.0,482.0,"2,338,157.00",30-07-2026
MMKJL,471.5,485.0,471.0,"2,134.00",484.0,485.0,"1,027,746.50",31-07-2026
MMKJL,480.0,482.0,475.0,"2,117.00",481.7,484.0,"1,008,891.00",03-08-2026
MMKJL,475.0,475.0,471.0,280.00,474.0,481.7,"132,865.00",04-08-2026
MMKJL,471.0,471.0,464.0,"1,803.00",464.0,474.0,"843,948.00",05-08-2026
MMKJL,477.9,477.9,450.1,"2,213.00",458.0,464.0,"1,020,392.30",06-08-2026
MMKJL,455.0,459.0,436.5,"6,085.00",454.9,458.0,"2,727,626.30",07-08-2026
MMKJL,454.9,468.0,436.0,"1,791.00",450.0,454.9,"789,896.40",10-08-2026
MMKJL,440.1,449.0,440.0,"1,563.00",443.0,450.0,"690,328.00",11-08-2026
MMKJL,450.0,450.0,440.1,"1,475.00",449.9,443.0,"657,135.00",12-08-2026
MMKJL,449.0,449.0,442.1,"1,998.00",446.0,449.9,"888,342.00",13-08-2026
MMKJL,442.0,448.0,442.0,736.00,444.0,446.0,"326,189.00",14-08-2026
MMKJL,445.0,445.0,437.0,"1,715.00",439.0,444.0,"756,239.00",17-08-2026
MMKJL,435.00,455.00,430.00,"3,634.00",455.00,439.00,"1,580,218.60",18-08-2026
