Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
GRDBL,265.0,270.5,255.0,"6,583.00",265.2,270.0,"1,740,999.60",10-08-2022
GRDBL,265.0,270.5,255.0,"6,583.00",265.2,270.0,"1,740,999.60",10-08-2022
GRDBL,270.3,274.9,254.8,"6,461.00",255.0,265.2,"1,694,317.70",11-08-2022
GRDBL,270.3,274.9,254.8,"6,461.00",255.0,265.2,"1,694,317.70",12-08-2022
GRDBL,270.3,274.9,254.8,"6,461.00",255.0,265.2,"1,694,317.70",13-08-2022
GRDBL,260.0,265.0,245.0,"4,186.00",246.0,255.0,"1,055,154.00",14-08-2022
GRDBL,250.0,268.0,246.0,"8,486.00",268.0,246.0,"2,205,309.90",15-08-2022
GRDBL,272.0,277.0,261.0,"13,228.00",270.0,268.0,"3,582,146.00",16-08-2022
GRDBL,275.0,275.0,265.0,"3,562.00",270.0,270.0,"962,116.50",17-08-2022
GRDBL,271.0,289.0,268.1,"17,344.00",288.0,270.0,"4,867,228.80",18-08-2022
GRDBL,271.0,289.0,268.1,"17,344.00",288.0,270.0,"4,867,228.80",19-08-2022
GRDBL,271.0,289.0,268.1,"17,344.00",288.0,270.0,"4,867,228.80",20-08-2022
GRDBL,292.0,293.0,282.0,"14,099.00",284.9,288.0,"4,050,565.00",21-08-2022
GRDBL,280.0,281.0,272.5,"6,655.00",280.0,284.9,"1,847,124.00",22-08-2022
GRDBL,277.0,284.0,271.5,"1,446.00",274.0,280.0,"397,772.00",23-08-2022
GRDBL,278.0,284.5,274.0,"5,307.00",278.0,274.0,"1,476,775.00",24-08-2022
GRDBL,280.0,283.0,273.0,"5,317.00",273.5,278.0,"1,470,720.50",25-08-2022
GRDBL,270.0,270.0,262.0,"1,986.00",263.0,273.5,"525,728.00",26-08-2022
GRDBL,270.0,270.0,262.0,"1,986.00",263.0,273.5,"525,728.00",27-08-2022
GRDBL,260.0,264.0,250.0,"7,247.00",252.0,263.0,"1,851,562.00",28-08-2022
GRDBL,252.0,257.0,247.5,"7,384.00",257.0,252.0,"1,849,832.20",29-08-2022
GRDBL,258.0,262.0,255.0,"2,497.00",261.9,257.0,"645,702.40",30-08-2022
GRDBL,258.0,263.0,253.0,"4,528.00",253.0,261.9,"1,154,228.40",31-08-2022
GRDBL,251.0,258.0,249.0,"5,704.00",258.0,253.0,"1,430,719.40",01-09-2022
GRDBL,253.1,261.9,252.9,"1,737.00",261.9,258.0,"441,707.00",02-09-2022
GRDBL,253.1,261.9,252.9,"1,737.00",261.9,258.0,"441,707.00",03-09-2022
GRDBL,263.0,265.0,258.0,"3,648.00",262.0,261.9,"954,719.00",04-09-2022
GRDBL,260.0,261.0,255.1,"5,288.00",260.0,262.0,"1,373,280.10",05-09-2022
GRDBL,256.8,256.8,250.0,"5,168.00",251.0,260.0,"1,304,941.00",06-09-2022
GRDBL,246.3,255.0,242.0,"2,611.00",255.0,251.0,"643,840.90",07-09-2022
GRDBL,249.9,260.0,245.0,"6,285.00",248.0,255.0,"1,575,954.00",08-09-2022
GRDBL,249.9,260.0,245.0,"6,285.00",248.0,255.0,"1,575,954.00",09-09-2022
GRDBL,249.9,260.0,245.0,"6,285.00",248.0,255.0,"1,575,954.00",10-09-2022
GRDBL,250.0,251.0,243.4,"2,274.00",247.0,248.0,"561,404.50",11-09-2022
GRDBL,244.7,247.0,238.0,"1,350.00",247.0,247.0,"327,659.50",12-09-2022
GRDBL,243.0,259.0,242.1,"2,831.00",249.0,247.0,"714,677.10",13-09-2022
GRDBL,252.0,273.9,250.0,"18,877.00",273.9,249.0,"5,082,321.30",14-09-2022
GRDBL,278.0,287.0,259.0,"14,137.00",269.0,273.9,"3,795,385.00",15-09-2022
GRDBL,265.0,265.1,256.0,"3,142.00",258.0,269.0,"814,943.00",16-09-2022
GRDBL,265.00,265.10,256.00,"3,142.00",258.00,269.00,"814,943.00",17-09-2022
