Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
RBBD2088,"1,083.00","1,083.00","1,062.00",131.0,"1,061.00","1,087.50","141,238.00",08-07-2026
RBBD2088,"1,062.00","1,062.60","1,060.00","48,377.00","1,060.00","1,061.00","51,280,677.50",10-07-2026
RBBD2088,"1,060.00","1,115.00","1,060.00","147,008.00","1,065.00","1,060.00","160,345,185.90",14-07-2026
RBBD2088,"1,065.00","1,128.90","1,055.00","312,949.00","1,070.00","1,065.00","332,043,883.40",15-07-2026
RBBD2088,"1,083.00","1,083.00","1,083.00","24,176.00","1,083.00","1,070.00","26,182,608.00",16-07-2026
RBBD2088,"1,050.60","1,050.60","1,032.00",200.00,"1,032.00","1,083.00","209,934.00",20-07-2026
RBBD2088,"1,032.00","1,050.00","1,022.00",826.00,"1,032.10","1,032.00","855,243.30",21-07-2026
RBBD2088,"1,050.00","1,063.00","1,050.00",765.00,"1,050.00","1,032.10","810,470.00",22-07-2026
RBBD2088,"1,043.00","1,043.00","1,022.30",150.00,"1,026.70","1,075.00","155,525.00",04-08-2026
RBBD2088,"1,055.90","1,056.00","1,055.90",50.00,"1,056.00","1,026.70","52,797.50",05-08-2026
RBBD2088,"1,024.40","1,024.40",994.10,26.00,994.10,"1,056.00","26,149.60",10-08-2026
RBBD2088,994.10,"1,053.00",994.10,52.00,"1,053.00",994.10,"54,726.90",11-08-2026
RBBD2088,"1,053.00","1,053.00","1,053.00",25.00,"1,053.00","1,053.00","26,325.00",14-08-2026
RBBD2088,"1,053.00","1,053.00","1,053.00",299.00,"1,053.00","1,053.00","314,847.00",18-08-2026
RBBD2088,"1,050.00","1,050.00","1,050.00",25.00,"1,050.00","1,053.00","26,250.00",19-08-2026
RBBD2088,"1,030.00","1,030.00","1,030.00",25.00,"1,030.00","1,050.00","25,750.00",25-08-2026
RBBD2088,"1,050.00","1,055.00","1,042.00",200.00,"1,042.00","1,030.00","210,300.00",26-08-2026
RBBD2088,"1,081.40","1,081.50","1,050.40","1,626.00","1,050.40","1,050.00","1,757,733.90",31-08-2026
RBBD2088,"1,055.00","1,055.00","1,055.00",52.00,"1,055.00","1,050.40","54,860.00",01-09-2026
RBBD2088,"1,035.60","1,035.60","1,035.60",25.00,"1,035.60","1,055.00","25,890.00",02-09-2026
RBBD2088,"1,066.00","1,066.60","1,066.00",35.00,"1,066.60","1,035.60","37,325.00",03-09-2026
RBBD2088,"1,090.00","1,098.50","1,090.00","1,800.00","1,090.00","1,066.60","1,965,062.00",07-09-2026
RBBD2088,"1,090.00","1,095.00","1,090.00",325.00,"1,095.00","1,090.00","354,750.00",09-09-2026
RBBD2088,"1,073.00","1,073.00","1,073.00",30.00,"1,073.00","1,095.00","32,190.00",11-09-2026
RBBD2088,"1,041.00","1,072.20","1,041.00",75.00,"1,060.00","1,073.00","79,330.00",14-09-2026
RBBD2088,"1,060.00","1,070.00","1,060.00",50.00,"1,070.00","1,060.00","53,325.00",15-09-2026
