Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
JFL,417.7,438.0,417.6,"19,167.00",428.0,426.0,"8,137,050.20",10-08-2022
JFL,417.7,438.0,417.6,"19,167.00",428.0,426.0,"8,137,050.20",10-08-2022
JFL,436.0,436.5,414.0,"8,749.00",419.0,428.0,"3,681,771.30",11-08-2022
JFL,436.0,436.5,414.0,"8,749.00",419.0,428.0,"3,681,771.30",12-08-2022
JFL,436.0,436.5,414.0,"8,749.00",419.0,428.0,"3,681,771.30",13-08-2022
JFL,412.0,420.2,398.3,"11,619.00",399.0,419.0,"4,753,536.30",14-08-2022
JFL,406.0,433.0,398.8,"32,920.00",433.0,399.0,"13,798,223.30",15-08-2022
JFL,441.6,449.8,416.0,"26,648.00",416.0,433.0,"11,591,738.50",16-08-2022
JFL,419.0,428.0,410.0,"13,723.00",417.0,416.0,"5,769,315.60",17-08-2022
JFL,425.3,435.0,419.0,"19,214.00",427.0,417.0,"8,248,710.80",18-08-2022
JFL,425.3,435.0,419.0,"19,214.00",427.0,417.0,"8,248,710.80",19-08-2022
JFL,425.3,435.0,419.0,"19,214.00",427.0,417.0,"8,248,710.80",20-08-2022
JFL,435.5,444.0,417.5,"14,272.00",422.0,427.0,"6,111,151.10",21-08-2022
JFL,414.0,426.4,414.0,"9,939.00",420.0,422.0,"4,190,710.50",22-08-2022
JFL,414.0,429.9,414.0,"4,847.00",418.9,420.0,"2,032,212.30",23-08-2022
JFL,427.0,430.0,419.0,"6,175.00",420.0,418.9,"2,603,158.40",24-08-2022
JFL,428.4,428.4,410.0,"10,933.00",410.0,420.0,"4,558,821.00",25-08-2022
JFL,401.9,405.0,395.1,"13,629.00",403.5,410.0,"5,456,021.30",26-08-2022
JFL,401.9,405.0,395.1,"13,629.00",403.5,410.0,"5,456,021.30",27-08-2022
JFL,395.5,408.0,387.5,"23,075.00",391.0,403.5,"9,064,316.10",28-08-2022
JFL,383.2,405.0,383.2,"9,390.00",397.5,391.0,"3,715,687.60",29-08-2022
JFL,398.0,405.4,393.5,"6,801.00",395.0,397.5,"2,707,054.30",30-08-2022
JFL,394.0,394.0,381.0,"7,919.00",385.0,395.0,"3,057,455.60",31-08-2022
JFL,391.0,396.0,379.0,"4,960.00",389.9,385.0,"1,903,385.50",01-09-2022
JFL,382.2,403.0,382.2,"4,954.00",390.0,389.9,"1,957,033.70",02-09-2022
JFL,382.2,403.0,382.2,"4,954.00",390.0,389.9,"1,957,033.70",03-09-2022
JFL,397.8,402.9,390.0,"7,493.00",391.0,390.0,"2,947,664.40",04-09-2022
JFL,395.0,395.0,390.2,"2,152.00",391.0,391.0,"844,610.00",05-09-2022
JFL,388.1,388.1,381.1,"6,127.00",385.0,391.0,"2,355,365.20",06-09-2022
JFL,385.0,385.0,378.0,"3,850.00",383.0,385.0,"1,461,626.00",07-09-2022
JFL,382.0,393.0,382.0,"4,029.00",389.0,383.0,"1,567,805.90",08-09-2022
JFL,382.0,393.0,382.0,"4,029.00",389.0,383.0,"1,567,805.90",09-09-2022
JFL,382.0,393.0,382.0,"4,029.00",389.0,383.0,"1,567,805.90",10-09-2022
JFL,382.0,391.0,382.0,"3,372.00",383.0,389.0,"1,302,445.30",11-09-2022
JFL,381.0,381.0,375.4,"3,936.00",378.0,383.0,"1,485,157.50",12-09-2022
JFL,384.0,397.0,382.0,"6,425.00",386.0,378.0,"2,494,567.60",13-09-2022
JFL,392.9,410.0,390.0,"17,047.00",410.0,386.0,"6,846,415.80",14-09-2022
JFL,414.0,415.0,381.0,"18,383.00",383.1,410.0,"7,218,512.00",15-09-2022
JFL,375.5,383.5,368.0,"3,935.00",376.0,383.1,"1,470,175.70",16-09-2022
JFL,375.5,383.5,368.0,"3,935.00",376.0,383.1,"1,470,175.70",17-09-2022
JFL,375.0,376.0,358.0,"10,160.00",358.0,376.0,"3,748,221.40",18-09-2022
JFL,375.0,376.0,358.0,"10,160.00",358.0,376.0,"3,748,221.40",19-09-2022
JFL,355.0,357.0,348.0,"6,095.00",351.8,358.0,"2,140,755.80",20-09-2022
JFL,358.8,371.0,355.0,"5,532.00",360.0,351.8,"1,991,534.70",21-09-2022
JFL,360.0,360.0,350.0,"3,342.00",353.0,360.0,"1,177,919.10",22-09-2022
JFL,360.0,360.0,350.0,"3,342.00",353.0,360.0,"1,177,919.10",23-09-2022
JFL,360.0,360.0,350.0,"3,342.00",353.0,360.0,"1,177,919.10",24-09-2022
JFL,348.0,353.0,345.0,"6,841.00",349.5,353.0,"2,390,059.00",25-09-2022
JFL,348.0,353.0,345.0,"6,841.00",349.5,353.0,"2,390,059.00",26-09-2022
JFL,349.5,362.0,349.0,"4,423.00",354.0,349.5,"1,556,838.90",27-09-2022
JFL,350.0,355.0,349.0,"2,701.00",351.0,354.0,"945,484.00",28-09-2022
JFL,351.1,355.0,350.0,"1,970.00",355.0,351.0,"695,528.00",29-09-2022
