Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
LEMF,8.65,8.81,8.61,"13,200.00",8.61,8.69,"114,094.00",10-08-2022
LEMF,8.65,8.81,8.61,"13,200.00",8.61,8.69,"114,094.00",10-08-2022
LEMF,8.78,8.78,8.5,"1,978,320.00",8.58,8.61,"16,817,636.60",11-08-2022
LEMF,8.78,8.78,8.5,"1,978,320.00",8.58,8.61,"16,817,636.60",12-08-2022
LEMF,8.78,8.78,8.5,"1,978,320.00",8.58,8.61,"16,817,636.60",13-08-2022
LEMF,8.58,8.91,8.58,"2,005.00",8.74,8.58,"17,700.50",14-08-2022
LEMF,8.9,8.91,8.9,"10,000.00",8.91,8.74,"89,064.00",15-08-2022
LEMF,8.75,8.75,8.61,"28,840.00",8.74,8.91,"251,177.20",16-08-2022
LEMF,8.7,8.7,8.64,"3,300.00",8.64,8.74,"28,572.00",17-08-2022
LEMF,8.64,8.98,8.64,"1,500.00",8.98,8.64,"13,147.00",18-08-2022
LEMF,8.64,8.98,8.64,"1,500.00",8.98,8.64,"13,147.00",19-08-2022
LEMF,8.64,8.98,8.64,"1,500.00",8.98,8.64,"13,147.00",20-08-2022
LEMF,8.81,8.81,8.72,"42,200.00",8.75,8.98,"369,190.00",21-08-2022
LEMF,8.75,8.99,8.73,"74,759.00",8.99,8.75,"658,625.21",22-08-2022
LEMF,8.82,8.82,8.48,"67,185.00",8.54,8.99,"572,062.80",23-08-2022
LEMF,8.71,8.71,8.54,"10,000.00",8.54,8.54,"86,250.00",24-08-2022
LEMF,8.5,8.53,8.41,"73,900.00",8.48,8.54,"622,600.60",25-08-2022
LEMF,8.36,8.36,8.35,"18,300.00",8.35,8.48,"152,815.00",26-08-2022
LEMF,8.36,8.36,8.35,"18,300.00",8.35,8.48,"152,815.00",27-08-2022
LEMF,8.21,8.28,8.08,"52,940.00",8.28,8.35,"431,769.20",28-08-2022
LEMF,8.14,8.35,8.1,"6,400.00",8.35,8.28,"52,041.00",29-08-2022
LEMF,8.35,8.35,8.2,"12,200.00",8.2,8.35,"101,780.00",30-08-2022
LEMF,8.2,8.26,8.1,"12,195.00",8.26,8.2,"99,617.50",31-08-2022
LEMF,8.12,8.13,8.12,"7,600.00",8.12,8.26,"61,742.00",04-09-2022
LEMF,8.12,8.12,8.08,"16,975.00",8.08,8.12,"137,638.00",05-09-2022
LEMF,8.01,8.15,8.01,"9,260.00",8.15,8.08,"75,455.00",06-09-2022
LEMF,8.2,8.41,8.05,"124,290.00",8.37,8.15,"1,021,795.75",07-09-2022
LEMF,8.21,8.24,8.08,"3,500.00",8.24,8.37,"28,730.00",08-09-2022
LEMF,8.21,8.24,8.08,"3,500.00",8.24,8.37,"28,730.00",09-09-2022
LEMF,8.21,8.24,8.08,"3,500.00",8.24,8.37,"28,730.00",10-09-2022
LEMF,8.11,8.11,8.11,"10,000.00",8.11,8.24,"81,100.00",12-09-2022
LEMF,8.1,8.11,7.87,"74,750.00",8.02,8.11,"597,879.50",13-09-2022
LEMF,8.02,8.12,7.97,"30,198.00",8.12,8.02,"241,530.00",14-09-2022
LEMF,8.12,8.12,7.99,"3,500.00",8.0,8.12,"28,105.00",15-09-2022
LEMF,7.85,8.19,7.85,"18,420.00",8.19,8.0,"145,824.40",16-09-2022
LEMF,7.85,8.19,7.85,"18,420.00",8.19,8.0,"145,824.40",17-09-2022
LEMF,8.05,8.05,7.88,"25,000.00",8.0,8.19,"199,835.00",18-09-2022
LEMF,8.05,8.05,7.88,"25,000.00",8.0,8.19,"199,835.00",19-09-2022
LEMF,7.85,7.85,7.71,"4,575.00",7.71,8.0,"35,833.25",20-09-2022
LEMF,7.72,7.79,7.7,"28,600.00",7.7,7.71,"221,170.00",21-09-2022
LEMF,7.55,8.04,7.55,"12,300.00",8.04,7.7,"95,150.25",22-09-2022
LEMF,7.55,8.04,7.55,"12,300.00",8.04,7.7,"95,150.25",23-09-2022
LEMF,7.55,8.04,7.55,"12,300.00",8.04,7.7,"95,150.25",24-09-2022
LEMF,7.88,7.88,7.88,100.00,7.88,8.04,788.00,27-09-2022
LEMF,7.8,7.8,7.75,"2,400.00",7.75,7.88,"18,700.00",28-09-2022
LEMF,7.9,8.0,7.9,"1,190.00",8.0,7.75,"9,411.00",29-09-2022
LEMF,7.9,8.0,7.9,"1,190.00",8.0,7.75,"9,411.00",30-09-2022
LEMF,7.9,8.0,7.9,"1,190.00",8.0,7.75,"9,411.00",01-10-2022
LEMF,7.9,8.0,7.9,"1,190.00",8.0,7.75,"9,411.00",02-10-2022
LEMF,7.9,8.0,7.9,"1,190.00",8.0,7.75,"9,411.00",03-10-2022
LEMF,7.9,8.0,7.9,"1,190.00",8.0,7.75,"9,411.00",04-10-2022
LEMF,7.9,8.0,7.9,"1,190.00",8.0,7.75,"9,411.00",05-10-2022
LEMF,7.9,8.0,7.9,"1,190.00",8.0,7.75,"9,411.00",06-10-2022
LEMF,7.9,8.0,7.9,"1,190.00",8.0,7.75,"9,411.00",07-10-2022
LEMF,7.9,8.0,7.9,"1,190.00",8.0,7.75,"9,411.00",08-10-2022
LEMF,8.1,8.1,7.96,"5,250.00",7.96,8.0,"42,490.00",09-10-2022
LEMF,7.99,7.99,7.68,"17,000.00",7.68,7.96,"133,048.00",10-10-2022
LEMF,7.6,7.83,7.6,"4,212.00",7.75,7.68,"32,501.00",11-10-2022
LEMF,7.9,7.9,7.9,"2,780.00",7.9,7.75,"21,962.00",12-10-2022
LEMF,8.05,8.05,8.0,400.00,8.0,7.9,"3,209.00",13-10-2022
LEMF,8.05,8.05,8.0,400.00,8.0,7.9,"3,209.00",14-10-2022
LEMF,8.05,8.05,8.0,400.00,8.0,7.9,"3,209.00",15-10-2022
LEMF,8.05,8.05,8.05,"2,000.00",8.05,8.0,"16,100.00",16-10-2022
LEMF,7.9,7.9,7.9,"2,000.00",7.9,8.05,"15,800.00",17-10-2022
LEMF,7.9,7.9,7.9,"2,000.00",7.9,8.05,"15,800.00",18-10-2022
LEMF,7.85,7.85,7.75,"7,700.00",7.75,7.9,"59,875.00",19-10-2022
LEMF,7.63,7.63,7.34,"1,275.00",7.48,7.75,"9,669.25",20-10-2022
LEMF,7.63,7.63,7.34,"1,275.00",7.48,7.75,"9,669.25",21-10-2022
LEMF,7.63,7.63,7.34,"1,275.00",7.48,7.75,"9,669.25",22-10-2022
LEMF,7.62,7.77,7.62,"5,100.00",7.77,7.48,"39,612.00",23-10-2022
LEMF,7.62,7.77,7.62,"5,100.00",7.77,7.48,"39,612.00",24-10-2022
LEMF,7.62,7.77,7.62,"5,100.00",7.77,7.48,"39,612.00",25-10-2022
LEMF,7.62,7.77,7.62,"5,100.00",7.77,7.48,"39,612.00",26-10-2022
