Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
CLBSL,937.0,973.0,921.0,"4,276.00",955.0,955.0,"4,035,252.00",10-08-2022
CLBSL,937.0,973.0,921.0,"4,276.00",955.0,955.0,"4,035,252.00",10-08-2022
CLBSL,937.0,973.0,921.0,"4,276.00",955.0,955.0,"4,035,252.00",10-08-2022
CLBSL,936.6,954.0,930.0,"3,255.00",935.0,955.0,"3,052,036.90",11-08-2022
CLBSL,936.6,954.0,930.0,"3,255.00",935.0,955.0,"3,052,036.90",12-08-2022
CLBSL,936.6,954.0,930.0,"3,255.00",935.0,955.0,"3,052,036.90",13-08-2022
CLBSL,918.0,934.9,917.1,"2,532.00",919.0,935.0,"2,331,145.10",14-08-2022
CLBSL,920.0,955.0,916.3,"4,288.00",944.0,919.0,"3,991,550.00",15-08-2022
CLBSL,950.0,954.0,922.0,"2,738.00",924.0,944.0,"2,569,051.40",16-08-2022
CLBSL,917.1,929.0,917.1,939.00,918.0,924.0,"865,099.50",17-08-2022
CLBSL,920.0,942.0,920.0,914.00,942.0,918.0,"852,614.80",18-08-2022
CLBSL,920.0,942.0,920.0,914.00,942.0,918.0,"852,614.80",19-08-2022
CLBSL,920.0,942.0,920.0,914.00,942.0,918.0,"852,614.80",20-08-2022
CLBSL,924.0,934.9,924.0,"1,351.00",930.0,942.0,"1,258,527.70",21-08-2022
CLBSL,925.0,930.0,913.0,"9,986.00",913.0,930.0,"9,235,050.90",22-08-2022
CLBSL,922.0,924.5,907.0,"2,418.00",907.0,913.0,"2,200,972.70",23-08-2022
CLBSL,907.00,915.00,900.00,"1,332.00",900.10,907.00,"1,203,274.00",24-08-2022
