Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
KDBY,8.63,8.81,8.63,"4,950.00",8.71,8.8,"42,956.00",10-08-2022
KDBY,8.63,8.81,8.63,"4,950.00",8.71,8.8,"42,956.00",10-08-2022
KDBY,8.54,9.02,8.54,"2,100.00",8.85,8.71,"18,516.00",11-08-2022
KDBY,8.54,9.02,8.54,"2,100.00",8.85,8.71,"18,516.00",12-08-2022
KDBY,8.54,9.02,8.54,"2,100.00",8.85,8.71,"18,516.00",13-08-2022
KDBY,8.68,8.86,8.68,"3,300.00",8.7,8.85,"28,786.00",14-08-2022
KDBY,8.68,8.89,8.6,"11,010.00",8.8,8.7,"95,809.10",15-08-2022
KDBY,8.63,8.82,8.63,"3,300.00",8.71,8.8,"28,729.00",16-08-2022
KDBY,8.54,8.71,8.54,"3,490.00",8.66,8.71,"30,049.00",17-08-2022
KDBY,8.66,8.83,8.56,"3,950.00",8.6,8.66,"34,271.00",18-08-2022
KDBY,8.66,8.83,8.56,"3,950.00",8.6,8.66,"34,271.00",19-08-2022
KDBY,8.66,8.83,8.56,"3,950.00",8.6,8.66,"34,271.00",20-08-2022
KDBY,8.43,8.7,8.43,"4,950.00",8.5,8.6,"42,170.00",21-08-2022
KDBY,8.33,8.67,8.33,"4,950.00",8.41,8.5,"41,761.50",22-08-2022
KDBY,8.25,8.73,8.25,"3,600.00",8.60,8.41,"30,648.00",23-08-2022
