Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
PMLI,441.5,450.0,441.5,"4,130.00",446.0,450.0,"1,839,052.80",06-07-2026
PMLI,430.0,456.0,430.0,"3,726.00",450.0,446.0,"1,650,922.20",07-07-2026
PMLI,454.0,454.0,440.5,"2,180.00",445.0,450.0,"967,078.50",08-07-2026
PMLI,445.0,450.0,441.5,"1,509.00",444.5,445.0,"668,921.90",09-07-2026
PMLI,444.5,449.0,440.1,"2,051.00",442.1,444.5,"908,152.10",10-07-2026
PMLI,440.0,444.8,432.0,"5,913.00",434.1,442.1,"2,572,105.40",13-07-2026
PMLI,430.0,439.9,427.2,"8,135.00",436.0,434.1,"3,532,878.30",14-07-2026
PMLI,424.2,453.0,424.2,"2,198.00",441.0,436.0,"968,508.80",15-07-2026
PMLI,463.0,463.0,431.0,"3,461.00",433.1,441.0,"1,510,554.60",16-07-2026
PMLI,435.9,457.0,433.4,"2,637.00",454.9,433.1,"1,182,025.40",17-07-2026
PMLI,449.0,461.8,449.0,"7,024.00",454.4,454.9,"3,188,640.70",20-07-2026
PMLI,454.4,461.8,446.6,"8,197.00",450.0,454.4,"3,734,767.80",21-07-2026
PMLI,441.10,458.00,441.10,"4,821.00",445.00,450.00,"2,155,704.40",22-07-2026
