Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
FOWAD,"2,651.00","2,699.00","2,601.00","12,034.00","2,662.00","2,651.10","31,878,791.40",10-08-2022
FOWAD,"2,651.00","2,699.00","2,601.00","12,034.00","2,662.00","2,651.10","31,878,791.40",10-08-2022
FOWAD,"2,651.00","2,699.00","2,601.00","12,034.00","2,662.00","2,651.10","31,878,791.40",10-08-2022
FOWAD,"2,689.00","2,703.00","2,655.00","10,897.00","2,665.00","2,662.00","29,180,362.40",11-08-2022
FOWAD,"2,689.00","2,703.00","2,655.00","10,897.00","2,665.00","2,662.00","29,180,362.40",12-08-2022
FOWAD,"2,689.00","2,703.00","2,655.00","10,897.00","2,665.00","2,662.00","29,180,362.40",13-08-2022
FOWAD,"2,630.10","2,698.00","2,629.00","7,621.00","2,638.00","2,665.00","20,218,237.00",14-08-2022
FOWAD,"2,614.80","2,750.00","2,614.80","9,912.00","2,725.00","2,638.00","26,729,069.30",15-08-2022
FOWAD,"2,779.50","2,779.50","2,682.00","12,255.00","2,686.00","2,725.00","33,369,540.40",16-08-2022
FOWAD,"2,680.00","2,713.90","2,680.00","3,495.00","2,685.00","2,686.00","9,415,535.60",17-08-2022
FOWAD,"2,690.00","2,738.00","2,690.00","6,690.00","2,725.00","2,685.00","18,231,908.50",18-08-2022
FOWAD,"2,690.00","2,738.00","2,690.00","6,690.00","2,725.00","2,685.00","18,231,908.50",19-08-2022
FOWAD,"2,690.00","2,738.00","2,690.00","6,690.00","2,725.00","2,685.00","18,231,908.50",20-08-2022
FOWAD,"2,750.00","2,778.00","2,700.00","8,876.00","2,714.00","2,725.00","24,205,673.70",21-08-2022
FOWAD,"2,714.00","2,725.00","2,700.00","5,549.00","2,704.00","2,714.00","15,056,929.10",22-08-2022
FOWAD,"2,736.00","2,738.00","2,697.00","4,403.00","2,704.00","2,704.00","11,901,961.80",23-08-2022
FOWAD,"2,710.00","2,730.00","2,700.00","3,554.00","2,715.00","2,704.00","9,638,624.40",24-08-2022
FOWAD,"2,715.00","2,729.90","2,700.00","7,140.00","2,700.00","2,715.00","19,318,090.80",25-08-2022
FOWAD,"2,650.00","2,699.00","2,650.00","4,102.00","2,676.00","2,700.00","10,969,616.60",26-08-2022
FOWAD,"2,650.00","2,699.00","2,650.00","4,102.00","2,676.00","2,700.00","10,969,616.60",27-08-2022
FOWAD,"2,650.10","2,676.00","2,630.00","7,397.00","2,635.00","2,676.00","19,576,404.60",28-08-2022
FOWAD,"2,686.90","2,686.90","2,600.00","5,593.00","2,639.00","2,635.00","14,711,526.10",29-08-2022
FOWAD,"2,640.00","2,683.00","2,635.00","2,897.00","2,652.90","2,639.00","7,676,860.50",30-08-2022
FOWAD,"2,650.00","2,662.90","2,620.00","3,587.00","2,621.00","2,652.90","9,437,256.00",31-08-2022
FOWAD,"2,573.00","2,635.00","2,573.00","5,772.00","2,619.00","2,621.00","15,062,026.40",01-09-2022
FOWAD,"2,620.00","2,638.00","2,606.10","2,434.00","2,610.10","2,619.00","6,379,984.10",02-09-2022
FOWAD,"2,620.00","2,638.00","2,606.10","2,434.00","2,610.10","2,619.00","6,379,984.10",03-09-2022
FOWAD,"2,630.00","2,649.00","2,610.00","3,039.00","2,612.10","2,610.10","7,966,746.50",04-09-2022
FOWAD,"2,649.00","2,650.00","2,612.00","1,958.00","2,624.80","2,612.10","5,136,410.50",05-09-2022
FOWAD,"2,615.00","2,619.90","2,601.00","4,312.00","2,607.00","2,624.80","11,234,528.60",06-09-2022
FOWAD,"2,630.00","2,630.00","2,575.00","7,073.00","2,578.00","2,607.00","18,265,131.00",07-09-2022
FOWAD,"2,576.00","2,599.00","2,550.00","4,058.00","2,570.00","2,578.00","10,424,878.90",08-09-2022
FOWAD,"2,576.00","2,599.00","2,550.00","4,058.00","2,570.00","2,578.00","10,424,878.90",09-09-2022
FOWAD,"2,576.00","2,599.00","2,550.00","4,058.00","2,570.00","2,578.00","10,424,878.90",10-09-2022
FOWAD,"2,590.00","2,590.00","2,550.00","4,467.00","2,569.80","2,570.00","11,448,845.90",11-09-2022
FOWAD,"2,569.80","2,569.90","2,545.00","4,952.00","2,550.00","2,569.80","12,645,667.30",12-09-2022
FOWAD,"2,550.00","2,599.00","2,550.00","3,144.00","2,574.80","2,550.00","8,104,294.50",13-09-2022
FOWAD,"2,610.00","2,669.00","2,610.00","5,252.00","2,664.70","2,574.80","13,876,381.00",14-09-2022
FOWAD,"2,700.00","2,700.00","2,570.00","7,434.00","2,571.00","2,664.70","19,449,541.40",15-09-2022
FOWAD,"2,525.00","2,571.00","2,485.00","3,313.00","2,570.00","2,571.00","8,423,031.90",16-09-2022
FOWAD,"2,525.00","2,571.00","2,485.00","3,313.00","2,570.00","2,571.00","8,423,031.90",17-09-2022
FOWAD,"2,561.00","2,565.00","2,530.00","3,725.00","2,533.00","2,570.00","9,455,324.50",18-09-2022
FOWAD,"2,561.00","2,565.00","2,530.00","3,725.00","2,533.00","2,570.00","9,455,324.50",19-09-2022
FOWAD,"2,501.00","2,510.00","2,475.00","6,787.00","2,475.10","2,533.00","16,911,185.80",20-09-2022
FOWAD,"2,481.00","2,557.90","2,470.10","3,758.00","2,488.00","2,475.10","9,386,046.20",21-09-2022
FOWAD,"2,500.00","2,520.00","2,470.00","3,098.00","2,470.00","2,488.00","7,695,290.30",22-09-2022
FOWAD,"2,500.00","2,520.00","2,470.00","3,098.00","2,470.00","2,488.00","7,695,290.30",23-09-2022
FOWAD,"2,500.00","2,520.00","2,470.00","3,098.00","2,470.00","2,488.00","7,695,290.30",24-09-2022
FOWAD,"2,499.00","2,499.00","2,435.00","5,015.00","2,440.00","2,470.00","12,269,498.00",25-09-2022
FOWAD,"2,499.00","2,499.00","2,435.00","5,015.00","2,440.00","2,470.00","12,269,498.00",26-09-2022
FOWAD,"2,440.00","2,479.50","2,431.00","3,365.00","2,460.00","2,440.00","8,284,297.60",27-09-2022
FOWAD,"2,495.00","2,505.00","2,468.00","2,179.00","2,498.00","2,460.00","5,422,339.40",28-09-2022
FOWAD,"2,520.00","2,550.00","2,515.50","4,369.00","2,535.00","2,498.00","11,075,475.10",29-09-2022
FOWAD,"2,520.00","2,550.00","2,515.50","4,369.00","2,535.00","2,498.00","11,075,475.10",30-09-2022
FOWAD,"2,520.00","2,550.00","2,515.50","4,369.00","2,535.00","2,498.00","11,075,475.10",01-10-2022
FOWAD,"2,520.00","2,550.00","2,515.50","4,369.00","2,535.00","2,498.00","11,075,475.10",02-10-2022
FOWAD,"2,520.00","2,550.00","2,515.50","4,369.00","2,535.00","2,498.00","11,075,475.10",03-10-2022
FOWAD,"2,520.00","2,550.00","2,515.50","4,369.00","2,535.00","2,498.00","11,075,475.10",04-10-2022
FOWAD,"2,520.00","2,550.00","2,515.50","4,369.00","2,535.00","2,498.00","11,075,475.10",05-10-2022
FOWAD,"2,520.00","2,550.00","2,515.50","4,369.00","2,535.00","2,498.00","11,075,475.10",06-10-2022
FOWAD,"2,520.00","2,550.00","2,515.50","4,369.00","2,535.00","2,498.00","11,075,475.10",07-10-2022
FOWAD,"2,520.00","2,550.00","2,515.50","4,369.00","2,535.00","2,498.00","11,075,475.10",08-10-2022
FOWAD,"2,585.00","2,635.00","2,560.10","3,328.00","2,596.20","2,535.00","8,627,653.40",09-10-2022
FOWAD,"2,648.00","2,648.00","2,550.00","4,393.00","2,565.00","2,596.20","11,342,250.30",10-10-2022
FOWAD,"2,527.20","2,590.00","2,525.00","1,396.00","2,590.00","2,565.00","3,548,967.00",11-10-2022
FOWAD,"2,584.00","2,597.00","2,541.00","3,680.00","2,584.00","2,590.00","9,491,943.90",12-10-2022
FOWAD,"2,595.00","2,620.00","2,566.00","1,605.00","2,590.00","2,584.00","4,155,642.60",13-10-2022
FOWAD,"2,595.00","2,620.00","2,566.00","1,605.00","2,590.00","2,584.00","4,155,642.60",14-10-2022
FOWAD,"2,595.00","2,620.00","2,566.00","1,605.00","2,590.00","2,584.00","4,155,642.60",15-10-2022
FOWAD,"2,600.00","2,600.00","2,560.00","2,713.00","2,565.00","2,590.00","6,977,768.00",16-10-2022
FOWAD,"2,578.00","2,585.00","2,540.10","2,600.00","2,568.00","2,565.00","6,672,377.00",17-10-2022
FOWAD,"2,578.00","2,585.00","2,540.10","2,600.00","2,568.00","2,565.00","6,672,377.00",18-10-2022
FOWAD,"2,580.00","2,580.00","2,500.00","5,628.00","2,510.00","2,568.00","14,202,367.70",19-10-2022
FOWAD,"2,515.00","2,520.00","2,483.00","3,727.00","2,515.00","2,510.00","9,330,687.50",20-10-2022
