Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
UPPER,495.0,499.9,489.0,"37,504.00",489.2,496.0,"18,446,208.70",10-08-2022
UPPER,495.0,499.9,489.0,"37,504.00",489.2,496.0,"18,446,208.70",10-08-2022
UPPER,496.0,496.0,481.0,"50,811.00",481.0,489.2,"24,803,904.00",11-08-2022
UPPER,496.0,496.0,481.0,"50,811.00",481.0,489.2,"24,803,904.00",12-08-2022
UPPER,496.0,496.0,481.0,"50,811.00",481.0,489.2,"24,803,904.00",13-08-2022
UPPER,472.0,489.5,468.5,"41,310.00",470.0,481.0,"19,677,447.40",14-08-2022
UPPER,461.0,491.0,461.0,"43,521.00",491.0,470.0,"21,000,254.80",15-08-2022
UPPER,481.2,490.5,471.0,"81,457.00",472.0,491.0,"39,097,845.70",16-08-2022
UPPER,481.0,481.0,470.0,"23,159.00",474.0,472.0,"10,943,727.60",17-08-2022
UPPER,475.0,500.0,475.0,"83,216.00",495.9,474.0,"40,772,199.40",18-08-2022
UPPER,475.0,500.0,475.0,"83,216.00",495.9,474.0,"40,772,199.40",19-08-2022
UPPER,475.0,500.0,475.0,"83,216.00",495.9,474.0,"40,772,199.40",20-08-2022
UPPER,505.8,514.0,477.0,"91,349.00",484.0,495.9,"45,151,516.20",21-08-2022
UPPER,489.9,489.9,475.0,"47,361.00",478.1,484.0,"22,716,967.60",22-08-2022
UPPER,487.0,487.0,475.0,"23,500.00",478.0,478.1,"11,227,251.50",23-08-2022
UPPER,487.0,487.0,470.0,"41,104.00",477.0,478.0,"19,578,063.30",24-08-2022
UPPER,486.0,486.0,464.0,"53,145.00",470.0,477.0,"25,009,860.00",25-08-2022
UPPER,462.10,469.00,460.00,"31,760.00",462.90,470.00,"14,676,988.10",26-08-2022
