Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
NWCL,711.1,727.0,711.1,659.0,721.0,727.1,"475,489.00",06-07-2026
NWCL,742.4,742.4,720.2,927.0,723.0,721.0,"669,684.40",07-07-2026
NWCL,705.1,730.0,705.1,"2,322.00",713.4,723.0,"1,683,458.50",08-07-2026
NWCL,714.1,723.5,714.0,"1,120.00",723.5,713.4,"799,938.00",09-07-2026
NWCL,705.0,711.2,705.0,"2,365.00",706.5,723.5,"1,677,830.60",10-07-2026
NWCL,705.2,705.2,695.0,"2,008.00",695.0,706.5,"1,404,501.50",13-07-2026
NWCL,691.0,705.0,691.0,420.00,705.0,695.0,"293,467.00",14-07-2026
NWCL,724.9,724.9,700.0,"2,274.00",705.0,705.0,"1,605,522.50",15-07-2026
NWCL,693.0,724.0,693.0,"3,898.00",723.0,705.0,"2,729,947.40",16-07-2026
NWCL,734.8,759.0,725.1,"1,592.00",749.0,723.0,"1,175,238.20",17-07-2026
NWCL,731.3,764.8,730.0,"2,744.00",750.0,749.0,"2,025,711.80",20-07-2026
NWCL,759.9,760.0,720.8,"3,496.00",742.0,750.0,"2,575,644.00",21-07-2026
NWCL,731.0,735.0,724.1,"1,771.00",733.9,742.0,"1,290,033.70",22-07-2026
NWCL,721.9,742.9,720.0,"1,960.00",742.9,733.9,"1,423,443.00",23-07-2026
NWCL,721.1,744.9,701.2,"5,747.00",724.0,739.9,"4,106,890.30",27-07-2026
NWCL,715.00,724.00,708.20,"1,274.00",724.00,724.00,"909,588.80",28-07-2026
