Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
GVL,375.0,386.9,365.0,"24,977.00",378.3,380.0,"9,392,989.00",10-08-2022
GVL,375.0,386.9,365.0,"24,977.00",378.3,380.0,"9,392,989.00",10-08-2022
GVL,385.0,392.0,375.0,"44,741.00",379.9,378.3,"17,201,597.70",11-08-2022
GVL,385.0,392.0,375.0,"44,741.00",379.9,378.3,"17,201,597.70",12-08-2022
GVL,385.0,392.0,375.0,"44,741.00",379.9,378.3,"17,201,597.70",13-08-2022
GVL,372.4,379.8,353.5,"24,247.00",365.4,379.9,"8,884,984.80",14-08-2022
GVL,358.1,383.0,358.1,"16,112.00",383.0,365.4,"6,046,848.50",15-08-2022
GVL,375.4,386.0,364.1,"20,236.00",366.1,383.0,"7,562,896.40",16-08-2022
GVL,360.3,380.0,360.3,"13,830.00",370.1,366.1,"5,153,674.50",17-08-2022
GVL,370.0,389.0,366.6,"34,428.00",378.0,370.1,"13,132,799.50",18-08-2022
GVL,370.0,389.0,366.6,"34,428.00",378.0,370.1,"13,132,799.50",19-08-2022
GVL,370.0,389.0,366.6,"34,428.00",378.0,370.1,"13,132,799.50",20-08-2022
GVL,377.0,385.0,375.0,"15,500.00",377.0,378.0,"5,867,232.50",21-08-2022
GVL,379.0,390.0,368.0,"9,283.00",380.0,377.0,"3,470,032.00",22-08-2022
GVL,372.4,391.0,372.4,"25,307.00",390.0,380.0,"9,749,431.70",23-08-2022
GVL,390.0,390.0,381.1,"34,051.00",385.0,390.0,"13,106,600.50",24-08-2022
GVL,384.0,399.0,373.5,"16,495.00",376.4,385.0,"6,269,100.40",25-08-2022
GVL,368.9,379.9,362.2,"10,613.00",374.1,376.4,"3,949,176.10",26-08-2022
GVL,368.9,379.9,362.2,"10,613.00",374.1,376.4,"3,949,176.10",27-08-2022
GVL,366.7,369.0,353.0,"24,241.00",358.4,374.1,"8,757,366.90",28-08-2022
GVL,351.4,374.0,351.4,"6,452.00",361.9,358.4,"2,319,963.30",29-08-2022
GVL,354.9,367.2,347.9,"6,993.00",359.0,361.9,"2,492,294.00",30-08-2022
GVL,351.9,358.0,345.0,"11,862.00",349.9,359.0,"4,156,651.10",31-08-2022
GVL,350.0,357.0,343.1,"9,442.00",355.9,349.9,"3,276,189.90",01-09-2022
GVL,357.0,357.0,346.7,"2,773.00",348.0,355.9,"972,407.00",02-09-2022
GVL,357.0,357.0,346.7,"2,773.00",348.0,355.9,"972,407.00",03-09-2022
GVL,345.1,354.9,345.0,"5,472.00",349.0,348.0,"1,908,889.60",04-09-2022
