Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
VLBS,"1,011.00","1,028.00","1,010.00",638.0,"1,026.00","1,030.00","651,576.40",10-08-2022
VLBS,"1,011.00","1,028.00","1,010.00",638.0,"1,026.00","1,030.00","651,576.40",10-08-2022
VLBS,"1,008.00","1,018.00",990.00,"2,592.00",990.00,"1,026.00","2,590,822.70",11-08-2022
VLBS,"1,008.00","1,018.00",990.00,"2,592.00",990.00,"1,026.00","2,590,822.70",12-08-2022
VLBS,"1,008.00","1,018.00",990.00,"2,592.00",990.00,"1,026.00","2,590,822.70",13-08-2022
VLBS,985.00,990.00,960.00,725.00,960.00,990.00,"704,571.00",14-08-2022
VLBS,960.00,"1,010.00",958.00,908.00,"1,010.00",960.00,"885,230.20",15-08-2022
VLBS,"1,008.00","1,008.00",985.00,414.00,986.00,"1,010.00","411,055.00",16-08-2022
VLBS,970.00,999.00,966.40,"1,522.00",979.00,986.00,"1,479,607.20",17-08-2022
VLBS,997.50,998.00,983.50,556.00,990.20,979.00,"551,637.00",18-08-2022
VLBS,997.50,998.00,983.50,556.00,990.20,979.00,"551,637.00",19-08-2022
VLBS,997.50,998.00,983.50,556.00,990.20,979.00,"551,637.00",20-08-2022
VLBS,990.00,990.00,983.20,358.00,986.00,990.20,"353,278.80",21-08-2022
VLBS,971.00,987.80,970.00,542.00,970.00,986.00,"526,486.30",22-08-2022
VLBS,987.50,988.00,970.00,475.00,986.90,970.00,"465,633.00",23-08-2022
VLBS,990.00,990.00,970.20,264.00,971.30,986.90,"259,540.20",24-08-2022
VLBS,990.00,998.50,965.00,660.00,965.00,971.30,"638,851.30",25-08-2022
VLBS,960.00,978.00,960.00,136.00,977.00,965.00,"131,030.00",26-08-2022
VLBS,960.00,978.00,960.00,136.00,977.00,965.00,"131,030.00",27-08-2022
VLBS,960.00,960.00,940.00,785.00,948.00,977.00,"741,951.30",28-08-2022
VLBS,930.00,948.00,930.00,727.00,946.00,948.00,"678,579.70",29-08-2022
VLBS,964.00,964.00,925.00,476.00,937.90,946.00,"446,738.00",30-08-2022
VLBS,921.20,940.00,921.20,99.00,940.00,937.90,"91,825.60",31-08-2022
VLBS,930.00,931.00,912.00,462.00,931.00,940.00,"425,439.00",01-09-2022
VLBS,931.00,945.00,912.40,919.00,945.00,931.00,"840,956.80",02-09-2022
VLBS,931.00,945.00,912.40,919.00,945.00,931.00,"840,956.80",03-09-2022
VLBS,931.00,934.60,900.00,"1,230.00",929.00,945.00,"1,128,300.10",04-09-2022
VLBS,930.00,930.00,910.00,"1,002.00",928.00,929.00,"914,857.40",05-09-2022
VLBS,913.00,917.90,900.00,343.00,917.90,928.00,"311,069.00",06-09-2022
VLBS,902.10,916.00,902.00,134.00,916.00,917.90,"121,106.00",07-09-2022
VLBS,910.00,918.00,892.00,601.00,892.00,916.00,"541,263.00",08-09-2022
VLBS,910.00,918.00,892.00,601.00,892.00,916.00,"541,263.00",09-09-2022
VLBS,910.00,918.00,892.00,601.00,892.00,916.00,"541,263.00",10-09-2022
VLBS,892.00,892.00,877.10,347.00,877.10,892.00,"304,867.70",11-09-2022
VLBS,865.50,865.50,850.10,"1,425.00",860.00,877.10,"1,225,830.20",12-09-2022
VLBS,876.00,880.00,870.00,875.00,880.00,860.00,"768,890.00",13-09-2022
VLBS,897.60,907.90,890.00,382.00,907.90,880.00,"344,415.00",14-09-2022
VLBS,925.00,925.00,872.10,904.00,889.00,907.90,"811,591.90",15-09-2022
VLBS,871.30,904.00,843.00,435.00,888.00,889.00,"375,725.80",16-09-2022
VLBS,871.30,904.00,843.00,435.00,888.00,889.00,"375,725.80",17-09-2022
VLBS,872.00,872.00,840.00,251.00,856.80,888.00,"214,887.60",18-09-2022
VLBS,872.00,872.00,840.00,251.00,856.80,888.00,"214,887.60",19-09-2022
VLBS,845.00,861.00,814.00,"2,196.00",820.00,856.80,"1,801,273.00",20-09-2022
VLBS,836.40,850.00,820.00,309.00,820.00,820.00,"255,247.30",21-09-2022
VLBS,817.00,820.00,808.00,882.00,811.00,820.00,"717,123.00",22-09-2022
VLBS,817.00,820.00,808.00,882.00,811.00,820.00,"717,123.00",23-09-2022
VLBS,817.00,820.00,808.00,882.00,811.00,820.00,"717,123.00",24-09-2022
VLBS,810.00,810.00,795.10,"1,724.00",795.10,811.00,"1,381,956.00",25-09-2022
VLBS,810.00,810.00,795.10,"1,724.00",795.10,811.00,"1,381,956.00",26-09-2022
VLBS,811.00,815.00,799.00,"2,146.00",815.00,795.10,"1,729,308.00",27-09-2022
VLBS,831.30,861.00,830.50,153.00,849.20,815.00,"128,894.50",28-09-2022
VLBS,866.00,866.00,838.00,348.00,838.00,849.20,"294,025.30",29-09-2022
VLBS,866.00,866.00,838.00,348.00,838.00,849.20,"294,025.30",30-09-2022
VLBS,866.00,866.00,838.00,348.00,838.00,849.20,"294,025.30",01-10-2022
VLBS,866.00,866.00,838.00,348.00,838.00,849.20,"294,025.30",02-10-2022
VLBS,866.00,866.00,838.00,348.00,838.00,849.20,"294,025.30",03-10-2022
VLBS,866.00,866.00,838.00,348.00,838.00,849.20,"294,025.30",04-10-2022
VLBS,866.00,866.00,838.00,348.00,838.00,849.20,"294,025.30",05-10-2022
VLBS,866.00,866.00,838.00,348.00,838.00,849.20,"294,025.30",06-10-2022
VLBS,866.00,866.00,838.00,348.00,838.00,849.20,"294,025.30",07-10-2022
VLBS,866.00,866.00,838.00,348.00,838.00,849.20,"294,025.30",08-10-2022
VLBS,850.00,882.30,849.70,121.00,882.30,838.00,"103,988.60",09-10-2022
VLBS,880.00,880.00,855.00,945.00,871.00,882.30,"811,891.50",10-10-2022
VLBS,860.00,873.00,843.00,387.00,843.00,871.00,"330,011.00",11-10-2022
VLBS,840.00,858.00,840.00,"1,050.00",858.00,843.00,"884,350.00",12-10-2022
VLBS,847.00,850.00,843.00,480.00,843.00,858.00,"406,130.00",13-10-2022
VLBS,847.00,850.00,843.00,480.00,843.00,858.00,"406,130.00",14-10-2022
VLBS,847.00,850.00,843.00,480.00,843.00,858.00,"406,130.00",15-10-2022
VLBS,849.00,849.00,842.00,117.00,842.00,843.00,"98,753.00",16-10-2022
VLBS,831.00,831.00,831.00,11.00,831.00,842.00,"9,141.00",17-10-2022
VLBS,831.00,831.00,831.00,11.00,831.00,842.00,"9,141.00",18-10-2022
VLBS,840.00,859.90,827.00,273.00,838.00,831.00,"227,921.00",19-10-2022
VLBS,822.10,840.00,821.00,385.00,840.00,838.00,"317,464.40",20-10-2022
VLBS,822.10,840.00,821.00,385.00,840.00,838.00,"317,464.40",21-10-2022
VLBS,822.10,840.00,821.00,385.00,840.00,838.00,"317,464.40",22-10-2022
VLBS,824.00,824.00,824.00,12.00,824.00,840.00,"9,888.00",23-10-2022
VLBS,824.00,824.00,824.00,12.00,824.00,840.00,"9,888.00",24-10-2022
VLBS,824.00,824.00,824.00,12.00,824.00,840.00,"9,888.00",25-10-2022
VLBS,824.00,824.00,824.00,12.00,824.00,840.00,"9,888.00",26-10-2022
VLBS,824.00,824.00,824.00,12.00,824.00,840.00,"9,888.00",27-10-2022
VLBS,824.00,824.00,824.00,12.00,824.00,840.00,"9,888.00",28-10-2022
VLBS,824.00,824.00,824.00,12.00,824.00,840.00,"9,888.00",29-10-2022
VLBS,824.00,824.00,824.00,12.00,824.00,840.00,"9,888.00",30-10-2022
VLBS,828.00,846.00,820.00,222.00,830.00,824.00,"183,666.00",31-10-2022
VLBS,845.00,859.90,845.00,125.00,859.90,830.00,"105,774.00",01-11-2022
VLBS,865.00,870.00,842.00,659.00,862.00,859.90,"560,441.00",02-11-2022
VLBS,850.00,850.00,840.00,226.00,845.00,862.00,"190,656.00",03-11-2022
VLBS,850.00,850.00,840.00,226.00,845.00,862.00,"190,656.00",04-11-2022
VLBS,850.00,895.00,850.00,"1,234.00",890.00,845.00,"1,078,991.20",06-11-2022
VLBS,894.00,895.00,880.00,753.00,881.00,890.00,"666,069.00",07-11-2022
VLBS,870.00,870.00,855.00,407.00,857.00,881.00,"350,947.50",08-11-2022
VLBS,840.10,844.00,828.10,713.00,832.00,857.00,"597,320.00",09-11-2022
VLBS,832.00,832.00,822.00,403.00,830.00,832.00,"333,188.00",10-11-2022
VLBS,832.00,832.00,822.00,403.00,830.00,832.00,"333,188.00",10-11-2022
VLBS,832.00,832.00,822.00,403.00,830.00,832.00,"333,188.00",11-11-2022
VLBS,832.00,832.00,822.00,403.00,830.00,832.00,"333,188.00",12-11-2022
VLBS,820.00,830.00,790.00,581.00,830.00,830.00,"467,489.00",14-11-2022
VLBS,821.00,827.00,809.00,"1,036.00",815.00,830.00,"846,734.00",15-11-2022
VLBS,824.00,831.00,806.00,"1,263.00",806.00,815.00,"1,044,024.80",16-11-2022
VLBS,822.00,834.00,810.00,"1,689.00",834.00,806.00,"1,378,301.00",17-11-2022
VLBS,822.00,834.00,810.00,"1,689.00",834.00,806.00,"1,378,301.00",18-11-2022
