Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
BARUN,282.0,286.1,274.0,"11,892.00",281.0,282.9,"3,345,869.00",10-08-2022
BARUN,282.0,286.1,274.0,"11,892.00",281.0,282.9,"3,345,869.00",10-08-2022
BARUN,282.0,286.1,274.0,"11,892.00",281.0,282.9,"3,345,869.00",10-08-2022
BARUN,279.0,284.0,278.1,"6,822.00",284.0,281.0,"1,914,960.90",11-08-2022
BARUN,279.0,284.0,278.1,"6,822.00",284.0,281.0,"1,914,960.90",12-08-2022
BARUN,279.0,284.0,278.1,"6,822.00",284.0,281.0,"1,914,960.90",13-08-2022
BARUN,284.0,284.0,275.0,"11,370.00",277.0,284.0,"3,150,569.80",14-08-2022
BARUN,276.0,285.0,276.0,"16,384.00",285.0,277.0,"4,612,547.60",15-08-2022
BARUN,289.0,294.0,276.0,"14,421.00",277.0,285.0,"4,095,146.50",16-08-2022
BARUN,280.0,282.0,276.0,"4,066.00",277.0,277.0,"1,133,541.20",17-08-2022
BARUN,282.0,288.0,276.4,"9,629.00",284.0,277.0,"2,736,626.00",18-08-2022
BARUN,282.0,288.0,276.4,"9,629.00",284.0,277.0,"2,736,626.00",19-08-2022
BARUN,282.0,288.0,276.4,"9,629.00",284.0,277.0,"2,736,626.00",20-08-2022
BARUN,288.0,299.0,284.7,"11,085.00",288.0,284.0,"3,212,648.80",21-08-2022
BARUN,292.0,292.0,285.0,"6,284.00",285.0,288.0,"1,800,253.00",22-08-2022
BARUN,284.0,285.0,280.0,"3,891.00",281.0,285.0,"1,098,056.90",23-08-2022
BARUN,282.0,284.8,282.0,"1,205.00",283.0,281.0,"341,392.60",24-08-2022
BARUN,280.0,285.0,278.0,"6,227.00",278.5,283.0,"1,741,220.70",25-08-2022
BARUN,279.0,279.0,273.0,"4,238.00",277.0,278.5,"1,165,214.10",26-08-2022
BARUN,279.0,279.0,273.0,"4,238.00",277.0,278.5,"1,165,214.10",27-08-2022
BARUN,272.0,273.5,257.1,"12,308.00",264.0,277.0,"3,264,115.00",28-08-2022
BARUN,259.1,266.0,259.1,"7,675.00",265.0,264.0,"2,013,290.20",29-08-2022
BARUN,265.0,265.0,259.0,"4,517.00",259.0,265.0,"1,179,484.80",30-08-2022
BARUN,258.0,260.0,250.0,"5,741.00",251.1,259.0,"1,454,416.60",31-08-2022
BARUN,246.1,254.0,242.0,"7,188.00",254.0,251.1,"1,772,464.90",01-09-2022
BARUN,254.0,258.0,245.0,"2,818.00",250.0,254.0,"701,150.00",02-09-2022
BARUN,254.0,258.0,245.0,"2,818.00",250.0,254.0,"701,150.00",03-09-2022
BARUN,253.0,253.0,248.0,"4,970.00",250.0,250.0,"1,245,115.90",04-09-2022
BARUN,250.0,252.5,245.4,"2,037.00",249.9,250.0,"505,136.80",05-09-2022
BARUN,250.0,250.6,240.0,"8,099.00",240.0,249.9,"2,015,241.00",06-09-2022
BARUN,244.8,249.0,241.0,"9,542.00",244.0,240.0,"2,338,642.30",07-09-2022
BARUN,245.0,249.9,242.0,"5,938.00",249.8,244.0,"1,460,746.70",08-09-2022
BARUN,245.0,249.9,242.0,"5,938.00",249.8,244.0,"1,460,746.70",09-09-2022
BARUN,245.0,249.9,242.0,"5,938.00",249.8,244.0,"1,460,746.70",10-09-2022
BARUN,252.0,252.0,246.0,"1,264.00",247.0,249.8,"315,373.10",11-09-2022
BARUN,243.0,247.8,240.4,"1,623.00",244.5,247.0,"393,534.20",12-09-2022
BARUN,244.5,248.0,241.1,"1,976.00",245.0,244.5,"483,197.80",13-09-2022
BARUN,248.0,254.0,244.0,"6,542.00",254.0,245.0,"1,631,588.00",14-09-2022
BARUN,258.0,258.0,236.2,"15,517.00",240.0,254.0,"3,772,243.40",15-09-2022
BARUN,240.0,240.0,234.0,"2,329.00",240.0,240.0,"550,271.30",16-09-2022
BARUN,240.0,240.0,234.0,"2,329.00",240.0,240.0,"550,271.30",17-09-2022
BARUN,236.0,236.0,226.0,"6,398.00",232.0,240.0,"1,470,197.90",18-09-2022
BARUN,236.0,236.0,226.0,"6,398.00",232.0,240.0,"1,470,197.90",19-09-2022
BARUN,235.0,235.0,213.0,"12,361.00",213.0,232.0,"2,690,882.60",20-09-2022
BARUN,211.0,221.0,211.0,"6,396.00",213.0,213.0,"1,396,071.00",21-09-2022
BARUN,216.0,220.5,215.0,"3,033.00",217.6,213.0,"658,726.00",22-09-2022
BARUN,216.0,220.5,215.0,"3,033.00",217.6,213.0,"658,726.00",23-09-2022
BARUN,216.0,220.5,215.0,"3,033.00",217.6,213.0,"658,726.00",24-09-2022
BARUN,215.0,219.0,210.1,"5,397.00",210.1,217.6,"1,165,196.80",25-09-2022
BARUN,215.0,219.0,210.1,"5,397.00",210.1,217.6,"1,165,196.80",26-09-2022
BARUN,211.0,215.0,210.5,"2,510.00",215.0,210.1,"533,210.00",27-09-2022
BARUN,218.0,218.0,210.0,"3,047.00",211.0,215.0,"644,665.00",28-09-2022
BARUN,215.1,215.1,210.0,"2,922.00",210.5,211.0,"617,130.90",29-09-2022
BARUN,215.1,215.1,210.0,"2,922.00",210.5,211.0,"617,130.90",30-09-2022
BARUN,215.1,215.1,210.0,"2,922.00",210.5,211.0,"617,130.90",01-10-2022
BARUN,215.1,215.1,210.0,"2,922.00",210.5,211.0,"617,130.90",02-10-2022
BARUN,215.1,215.1,210.0,"2,922.00",210.5,211.0,"617,130.90",03-10-2022
BARUN,215.1,215.1,210.0,"2,922.00",210.5,211.0,"617,130.90",04-10-2022
BARUN,215.1,215.1,210.0,"2,922.00",210.5,211.0,"617,130.90",05-10-2022
BARUN,215.1,215.1,210.0,"2,922.00",210.5,211.0,"617,130.90",06-10-2022
BARUN,215.1,215.1,210.0,"2,922.00",210.5,211.0,"617,130.90",07-10-2022
BARUN,215.1,215.1,210.0,"2,922.00",210.5,211.0,"617,130.90",08-10-2022
BARUN,214.7,218.0,214.0,"3,072.00",218.0,210.5,"661,218.00",09-10-2022
BARUN,218.0,219.3,213.0,"3,056.00",214.0,218.0,"661,459.50",10-10-2022
BARUN,212.0,215.8,210.1,"1,536.00",212.9,214.0,"326,301.60",11-10-2022
BARUN,209.5,216.8,208.0,"1,705.00",215.0,212.9,"358,937.40",12-10-2022
BARUN,215.0,219.0,213.0,"1,678.00",217.5,215.0,"363,133.10",13-10-2022
BARUN,215.0,219.0,213.0,"1,678.00",217.5,215.0,"363,133.10",14-10-2022
BARUN,215.0,219.0,213.0,"1,678.00",217.5,215.0,"363,133.10",15-10-2022
BARUN,220.0,220.0,211.0,"1,935.00",213.0,217.5,"413,951.20",16-10-2022
BARUN,213.0,216.0,211.0,"3,427.00",212.0,213.0,"727,929.00",17-10-2022
BARUN,213.0,216.0,211.0,"3,427.00",212.0,213.0,"727,929.00",18-10-2022
BARUN,215.0,215.0,202.4,"4,477.00",205.0,212.0,"921,474.00",19-10-2022
