Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
SMJC,334.0,367.4,330.0,"92,899.00",340.0,334.0,"32,907,560.20",13-04-2023
SMJC,334.0,367.4,330.0,"92,899.00",340.0,334.0,"32,907,560.20",14-04-2023
SMJC,334.0,367.4,330.0,"92,899.00",340.0,334.0,"32,907,560.20",15-04-2023
SMJC,345.0,346.0,313.6,"84,870.00",317.0,340.0,"27,233,165.90",16-04-2023
SMJC,320.0,332.9,305.0,"35,248.00",308.2,317.0,"10,878,675.60",17-04-2023
SMJC,305.0,311.0,299.0,"45,046.00",307.2,308.2,"13,749,289.50",18-04-2023
SMJC,306.0,314.0,303.1,"28,467.00",311.0,307.2,"8,819,532.00",19-04-2023
SMJC,317.2,317.2,305.0,"23,322.00",305.0,311.0,"7,185,060.40",20-04-2023
SMJC,317.2,317.2,305.0,"23,322.00",305.0,311.0,"7,185,060.40",21-04-2023
SMJC,317.2,317.2,305.0,"23,322.00",305.0,311.0,"7,185,060.40",22-04-2023
SMJC,300.0,302.8,292.3,"32,757.00",294.9,305.0,"9,733,101.70",23-04-2023
SMJC,291.0,297.0,286.1,"30,945.00",286.5,294.9,"8,962,716.80",24-04-2023
SMJC,280.8,297.9,274.7,"47,220.00",296.8,286.5,"13,413,954.80",25-04-2023
SMJC,291.0,295.5,285.0,"20,429.00",287.8,296.8,"5,885,550.20",26-04-2023
SMJC,287.0,290.0,278.6,"21,190.00",283.8,287.8,"6,002,280.20",27-04-2023
SMJC,287.0,290.0,278.6,"21,190.00",283.8,287.8,"6,002,280.20",28-04-2023
SMJC,287.0,290.0,278.6,"21,190.00",283.8,287.8,"6,002,280.20",29-04-2023
SMJC,282.0,283.0,274.1,"27,513.00",274.1,283.8,"7,658,187.70",30-04-2023
SMJC,282.0,283.0,274.1,"27,513.00",274.1,283.8,"7,658,187.70",01-05-2023
SMJC,279.5,281.0,264.0,"16,688.00",266.9,274.1,"4,479,530.00",02-05-2023
SMJC,262.1,267.0,256.1,"28,671.00",257.1,266.9,"7,416,302.70",03-05-2023
SMJC,253.0,264.8,253.0,"21,956.00",263.0,257.1,"5,693,706.00",04-05-2023
SMJC,253.0,264.8,253.0,"21,956.00",263.0,257.1,"5,693,706.00",05-05-2023
SMJC,253.0,264.8,253.0,"21,956.00",263.0,257.1,"5,693,706.00",06-05-2023
SMJC,258.0,263.0,251.0,"24,149.00",252.0,263.0,"6,150,181.40",07-05-2023
SMJC,249.9,253.0,241.0,"20,007.00",244.9,252.0,"4,897,135.00",08-05-2023
SMJC,240.3,254.0,238.2,"18,494.00",251.0,244.9,"4,580,272.40",09-05-2023
SMJC,250.9,251.9,243.2,"16,126.00",245.5,251.0,"3,978,480.00",10-05-2023
SMJC,245.0,251.0,242.3,"12,747.00",245.0,245.5,"3,138,907.00",11-05-2023
SMJC,245.0,251.0,242.3,"12,747.00",245.0,245.5,"3,138,907.00",12-05-2023
SMJC,245.0,251.0,242.3,"12,747.00",245.0,245.5,"3,138,907.00",13-05-2023
SMJC,245.0,248.0,240.3,"15,690.00",240.3,245.0,"3,842,857.00",14-05-2023
SMJC,237.1,245.8,233.2,"19,225.00",240.0,240.3,"4,586,239.90",15-05-2023
SMJC,235.6,244.9,235.6,"18,675.00",244.9,240.0,"4,488,718.70",16-05-2023
SMJC,241.0,253.0,241.0,"22,184.00",253.0,244.9,"5,505,180.80",17-05-2023
SMJC,253.0,267.0,248.0,"21,462.00",264.9,253.0,"5,565,734.80",18-05-2023
SMJC,253.0,267.0,248.0,"21,462.00",264.9,253.0,"5,565,734.80",19-05-2023
SMJC,253.0,267.0,248.0,"21,462.00",264.9,253.0,"5,565,734.80",20-05-2023
SMJC,260.0,269.4,255.3,"38,296.00",256.1,264.9,"10,037,695.50",21-05-2023
SMJC,252.0,263.0,251.0,"19,748.00",258.0,256.1,"5,074,194.60",22-05-2023
SMJC,258.0,276.4,257.0,"37,038.00",271.0,258.0,"9,990,109.50",23-05-2023
SMJC,271.0,275.5,263.4,"28,270.00",275.5,271.0,"7,615,340.60",24-05-2023
SMJC,271.0,275.5,263.4,"28,270.00",275.5,271.0,"7,615,340.60",25-05-2023
SMJC,271.0,275.5,263.4,"28,270.00",275.5,271.0,"7,615,340.60",26-05-2023
SMJC,271.0,275.5,263.4,"28,270.00",275.5,271.0,"7,615,340.60",27-05-2023
SMJC,275.5,279.0,263.0,"40,282.00",264.2,275.5,"11,041,894.60",28-05-2023
SMJC,275.5,279.0,263.0,"40,282.00",264.2,275.5,"11,041,894.60",29-05-2023
SMJC,259.1,266.0,252.0,"33,105.00",253.0,264.2,"8,577,643.80",30-05-2023
SMJC,248.0,258.0,245.0,"20,305.00",248.4,253.0,"5,072,524.70",31-05-2023
SMJC,248.0,260.0,244.2,"24,047.00",253.5,248.4,"6,082,443.70",01-06-2023
SMJC,248.0,260.0,244.2,"24,047.00",253.5,248.4,"6,082,443.70",02-06-2023
SMJC,248.0,260.0,244.2,"24,047.00",253.5,248.4,"6,082,443.70",03-06-2023
SMJC,248.5,273.0,248.5,"24,815.00",268.7,253.5,"6,603,939.00",04-06-2023
SMJC,264.0,279.0,260.0,"39,737.00",265.0,268.7,"10,629,845.10",05-06-2023
SMJC,260.1,273.0,260.1,"20,467.00",271.0,265.0,"5,482,241.00",06-06-2023
SMJC,271.0,295.0,270.0,"136,728.00",285.0,271.0,"38,854,659.80",07-06-2023
SMJC,279.5,294.0,277.5,"50,257.00",283.0,285.0,"14,411,195.20",08-06-2023
SMJC,279.5,294.0,277.5,"50,257.00",283.0,285.0,"14,411,195.20",09-06-2023
SMJC,279.5,294.0,277.5,"50,257.00",283.0,285.0,"14,411,195.20",10-06-2023
SMJC,288.0,301.0,281.0,"54,509.00",300.0,283.0,"15,680,174.90",11-06-2023
SMJC,300.0,301.0,287.0,"40,081.00",288.3,300.0,"11,711,581.50",12-06-2023
SMJC,288.0,298.0,283.0,"30,956.00",293.0,288.3,"9,032,453.40",13-06-2023
SMJC,293.00,303.00,280.00,"69,090.00",287.00,293.00,"20,338,741.50",14-06-2023
