Symbol,Open,High,Low,Vol,Close,Prev. Close,Turnover,Date
MERO,862.0,885.0,860.0,"4,176.00",867.0,877.0,"3,647,726.50",10-08-2022
MERO,862.0,885.0,860.0,"4,176.00",867.0,877.0,"3,647,726.50",10-08-2022
MERO,860.0,884.0,860.0,"2,890.00",865.0,867.0,"2,525,269.20",11-08-2022
MERO,860.0,884.0,860.0,"2,890.00",865.0,867.0,"2,525,269.20",12-08-2022
MERO,860.0,884.0,860.0,"2,890.00",865.0,867.0,"2,525,269.20",13-08-2022
MERO,870.0,870.0,858.0,"4,917.00",866.0,865.0,"4,241,796.70",14-08-2022
MERO,875.0,910.0,866.0,"6,894.00",885.3,866.0,"6,081,502.20",15-08-2022
MERO,900.0,903.0,873.3,"5,197.00",875.0,885.3,"4,606,935.10",16-08-2022
MERO,873.2,887.0,861.0,"2,807.00",866.0,875.0,"2,442,779.20",17-08-2022
MERO,880.0,883.0,865.0,"4,696.00",880.0,866.0,"4,103,070.00",18-08-2022
MERO,880.0,883.0,865.0,"4,696.00",880.0,866.0,"4,103,070.00",19-08-2022
MERO,880.0,883.0,865.0,"4,696.00",880.0,866.0,"4,103,070.00",20-08-2022
MERO,890.0,897.0,871.0,"3,005.00",871.0,880.0,"2,665,223.00",21-08-2022
MERO,875.0,877.0,858.0,"3,297.00",871.0,871.0,"2,859,053.30",22-08-2022
MERO,861.0,868.0,860.0,"3,892.00",868.0,871.0,"3,359,010.70",23-08-2022
MERO,879.0,902.0,869.0,"1,905.00",870.0,868.0,"1,667,199.90",24-08-2022
MERO,882.0,882.0,862.4,"5,685.00",862.4,870.0,"4,958,373.40",25-08-2022
MERO,857.0,859.9,845.0,"2,171.00",847.1,862.4,"1,847,542.00",26-08-2022
MERO,857.0,859.9,845.0,"2,171.00",847.1,862.4,"1,847,542.00",27-08-2022
MERO,840.0,844.0,830.0,"4,451.00",831.0,847.1,"3,719,544.80",28-08-2022
MERO,817.0,835.0,816.1,"1,716.00",829.0,831.0,"1,420,305.90",29-08-2022
MERO,815.1,850.0,815.1,"2,180.00",825.0,829.0,"1,810,525.30",30-08-2022
MERO,830.0,840.0,812.0,"2,818.00",813.7,825.0,"2,301,459.90",31-08-2022
MERO,825.0,825.0,805.0,"1,528.00",815.0,813.7,"1,239,921.50",01-09-2022
MERO,820.0,825.0,811.0,587.00,815.0,815.0,"479,415.00",02-09-2022
MERO,820.0,825.0,811.0,587.00,815.0,815.0,"479,415.00",03-09-2022
MERO,824.5,825.0,814.0,"2,805.00",817.0,815.0,"2,301,754.00",04-09-2022
MERO,830.0,830.0,815.1,932.00,823.0,817.0,"764,089.40",05-09-2022
MERO,815.0,820.0,811.0,"1,339.00",812.0,823.0,"1,092,494.00",06-09-2022
MERO,801.0,807.0,795.0,"2,837.00",798.0,812.0,"2,264,375.60",07-09-2022
MERO,793.0,810.0,793.0,"2,504.00",800.0,798.0,"2,002,349.60",08-09-2022
MERO,793.0,810.0,793.0,"2,504.00",800.0,798.0,"2,002,349.60",09-09-2022
MERO,793.0,810.0,793.0,"2,504.00",800.0,798.0,"2,002,349.60",10-09-2022
MERO,795.0,810.0,790.0,"1,265.00",790.2,800.0,"1,009,708.00",11-09-2022
